,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
15,Peromyscus perfulvus,141295,-102.9258333,18.8194444,,False,2,9.78,Mammalia,Rodentia,Cricetidae,2312,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00784e1e07ef517474cf21c1788b0c08,00784e1e07ef517474cf21c1788b0c08,No,NoDisponible,,,,,,,
57,Peromyscus perfulvus,132049,-104.6296427,20.57056,,False,2,5.34,Mammalia,Rodentia,Cricetidae,1861,Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=023c77553fdbd81e60fc631aea5d1284,023c77553fdbd81e60fc631aea5d1284,Si,NoDisponible,No,No,Si,,,,
2,Peromyscus perfulvus,150843,-101.8316667,18.9519444,,False,3,12.88,Mammalia,Rodentia,Cricetidae,450,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03a5b0c02015041f855f298f416f7331,03a5b0c02015041f855f298f416f7331,No,NoDisponible,,,,,,,
53,Peromyscus perfulvus,146047,-102.3508333,19.0880556,,False,4,16.01,Mammalia,Rodentia,Cricetidae,330,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=050b168976f2f163300573a6e44c2554,050b168976f2f163300573a6e44c2554,No,NoDisponible,,,,,,,
62,Peromyscus perfulvus,127248,-104.96212,19.3981838,,False,4,19.8,Mammalia,Rodentia,Cricetidae,14,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ee3f6f1dd65f66f14954c70dba8740,06ee3f6f1dd65f66f14954c70dba8740,No,NoDisponible,,,,,,,
16,Peromyscus perfulvus,141295,-102.9258333,18.8194444,,False,2,9.78,Mammalia,Rodentia,Cricetidae,2312,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09b04e782933b7ea9201dbd50836eff0,09b04e782933b7ea9201dbd50836eff0,No,NoDisponible,,,,,,,
40,Peromyscus perfulvus,146047,-102.35083,19.08806,,False,4,16.01,Mammalia,Rodentia,Cricetidae,330,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a37e52d580dfae5e57c0131336bd838,0a37e52d580dfae5e57c0131336bd838,No,NoDisponible,,,,,,,
61,Peromyscus perfulvus,131864,-104.5168666,19.1337499,,False,4,17.14,Mammalia,Rodentia,Cricetidae,8,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b33b0412a571a5c34db4e13c2d59af0,0b33b0412a571a5c34db4e13c2d59af0,Si,NoDisponible,No,Si,Si,,,,
37,Peromyscus perfulvus,127259,-104.9469387,19.503993,,False,4,22.86,Mammalia,Rodentia,Cricetidae,166,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0da769eec784544b5efba39b55f11847,0da769eec784544b5efba39b55f11847,No,NoDisponible,,,,,,,
79,Peromyscus perfulvus,136536,-103.9377799,19.1528,,False,4,24.87,Mammalia,Rodentia,Cricetidae,388,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=113fc1230fb9d7bc6236d3323fe0b8ef,113fc1230fb9d7bc6236d3323fe0b8ef,No,NoDisponible,,,,,,,
29,Peromyscus perfulvus,127257,-105.0218543,19.4752228,,False,4,21.78,Mammalia,Rodentia,Cricetidae,190,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=151b9197f10094503c97934b63c0e33b,151b9197f10094503c97934b63c0e33b,No,NoDisponible,,,,,,,
22,Peromyscus perfulvus,127268,-104.79,19.3002778,,False,4,23.51,Mammalia,Rodentia,Cricetidae,12,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15f433e4e200aa080d9712878da04b00,15f433e4e200aa080d9712878da04b00,No,NoDisponible,,,,,,,
91,Peromyscus perfulvus,131907,-104.5494444,19.2041667,,False,4,23.17,Mammalia,Rodentia,Cricetidae,193,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=163fcd6f443c28cbc2f6b78a498e9505,163fcd6f443c28cbc2f6b78a498e9505,No,NoDisponible,,,,,,,
63,Peromyscus perfulvus,127248,-104.96212,19.3981838,,False,4,19.8,Mammalia,Rodentia,Cricetidae,14,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=170ee64cae3d4f9d28f27a016ee69866,170ee64cae3d4f9d28f27a016ee69866,No,NoDisponible,,,,,,,
87,Peromyscus perfulvus,155622,-101.4566667,18.8683333,,False,4,17.75,Mammalia,Rodentia,Cricetidae,1110,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18fd13238a9e956d2b57f631c0a5c4f2,18fd13238a9e956d2b57f631c0a5c4f2,No,NoDisponible,,,,,,,
78,Peromyscus perfulvus,155466,-101.5642308,17.6513488,,False,4,19.09,Mammalia,Rodentia,Cricetidae,177,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c4aff26c1ab9ef16f721a58c87c8f1c,1c4aff26c1ab9ef16f721a58c87c8f1c,Si,NoDisponible,No,No,Si,,,,
64,Peromyscus perfulvus,127248,-104.96212,19.3981838,,False,4,19.8,Mammalia,Rodentia,Cricetidae,14,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ead65678a40f3e9f6bfa08805fa2123,1ead65678a40f3e9f6bfa08805fa2123,No,NoDisponible,,,,,,,
17,Peromyscus perfulvus,141295,-102.9258333,18.8194444,,False,2,9.78,Mammalia,Rodentia,Cricetidae,2312,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f7545119aa09ced27dc70b291f63e0c,1f7545119aa09ced27dc70b291f63e0c,No,NoDisponible,,,,,,,
33,Peromyscus perfulvus,127259,-104.9926377,19.4932584,,False,4,22.86,Mammalia,Rodentia,Cricetidae,204,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25b8808db027f923f3450d43781bc644,25b8808db027f923f3450d43781bc644,No,NoDisponible,,,,,,,
90,Peromyscus perfulvus,160463,-100.9227778,19.3516667,,False,4,17.7,Mammalia,Rodentia,Cricetidae,921,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=270812ddd800636fa4f6347a11cd842b,270812ddd800636fa4f6347a11cd842b,Si,NoDisponible,No,Si,Si,,,,
65,Peromyscus perfulvus,127248,-104.96212,19.3981838,,False,4,19.8,Mammalia,Rodentia,Cricetidae,14,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28386656ad834de2035550e77523de0e,28386656ad834de2035550e77523de0e,No,NoDisponible,,,,,,,
