,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
42,Peromyscus schmidlyi,96689,-108.8965076,28.3744055,,False,0,20.31,Mammalia,Rodentia,Cricetidae,1550,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00612388720e4b1d8c31dcfa7005293d,00612388720e4b1d8c31dcfa7005293d,No,NoDisponible,NoDisponible,,Si,,,,
44,Peromyscus schmidlyi,118613,-106.2936822,24.9671348,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2471,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=006e856dc394af39f0a38b3fe0b94702,006e856dc394af39f0a38b3fe0b94702,No,NoDisponible,NoDisponible,,Si,,,,
62,Peromyscus schmidlyi,118667,-106.1403339,25.0928835,,False,1,35.16,Mammalia,Rodentia,Cricetidae,2436,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=110a685005ae6ad5110efb2dccd71d29,110a685005ae6ad5110efb2dccd71d29,No,NoDisponible,NoDisponible,,Si,,,,
54,Peromyscus schmidlyi,118613,-106.2936694,24.96856,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2495,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14cb975f17b3a153920ae2e0233c4b5b,14cb975f17b3a153920ae2e0233c4b5b,No,NoDisponible,NoDisponible,,Si,,,,
0,Peromyscus schmidlyi,123130,-105.3347182,23.8194807,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15e0bbf3445d9c3c69010db92017d6dc,15e0bbf3445d9c3c69010db92017d6dc,No,NoDisponible,NoDisponible,,Si,,,,
70,Peromyscus schmidlyi,127724,-104.6783167,23.0314,,False,1,34.57,Mammalia,Rodentia,Cricetidae,2590,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1664ba14a4f445a0771535cdc892f006,1664ba14a4f445a0771535cdc892f006,No,NoDisponible,NoDisponible,,Si,,,,
22,Peromyscus schmidlyi,123130,-105.3346666,23.8208333,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2518,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18365e0a666d59ae07ee88f50e8aeedf,18365e0a666d59ae07ee88f50e8aeedf,No,NoDisponible,NoDisponible,,Si,,,,
1,Peromyscus schmidlyi,123130,-105.3347182,23.8194807,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f2ba32e45fef6d78d5d243c62cd2f08,1f2ba32e45fef6d78d5d243c62cd2f08,No,NoDisponible,NoDisponible,,Si,,,,
55,Peromyscus schmidlyi,118613,-106.2936694,24.96856,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2495,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f5ce2171f5a626a089df9265073c1e1,1f5ce2171f5a626a089df9265073c1e1,No,NoDisponible,NoDisponible,,Si,,,,
56,Peromyscus schmidlyi,118613,-106.2936694,24.96856,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2495,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f68e44dfb499933cf51dacc262724e5,1f68e44dfb499933cf51dacc262724e5,No,NoDisponible,NoDisponible,,Si,,,,
71,Peromyscus schmidlyi,127724,-104.6783167,23.0314,,False,1,34.57,Mammalia,Rodentia,Cricetidae,2590,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=22a0caca933d3611c702f37401e4bd9a,22a0caca933d3611c702f37401e4bd9a,No,NoDisponible,NoDisponible,,Si,,,,
23,Peromyscus schmidlyi,123130,-105.3346666,23.8208333,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2518,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=26d4590d9a6b5d645f008275f8a70fbb,26d4590d9a6b5d645f008275f8a70fbb,No,NoDisponible,NoDisponible,,Si,,,,
72,Peromyscus schmidlyi,127724,-104.6783167,23.0314,,False,1,34.57,Mammalia,Rodentia,Cricetidae,2590,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=278ab5d3eadc94cc17873989e8996679,278ab5d3eadc94cc17873989e8996679,No,NoDisponible,NoDisponible,,Si,,,,
73,Peromyscus schmidlyi,127724,-104.6783167,23.0314,,False,1,34.57,Mammalia,Rodentia,Cricetidae,2590,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29508129a23c6e7b90fc0b6266825d9f,29508129a23c6e7b90fc0b6266825d9f,No,NoDisponible,NoDisponible,,Si,,,,
24,Peromyscus schmidlyi,123130,-105.3346666,23.8208333,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2518,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2acbc44c781edbfc100850a89c568fa0,2acbc44c781edbfc100850a89c568fa0,No,NoDisponible,NoDisponible,,Si,,,,
43,Peromyscus schmidlyi,118613,-106.2936822,24.9671348,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2471,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b79786532054145449e4114a7eb0865,2b79786532054145449e4114a7eb0865,No,NoDisponible,NoDisponible,,Si,,,,
2,Peromyscus schmidlyi,123130,-105.3347182,23.8194807,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c17af97a5d868adce6119f5322f49c8,2c17af97a5d868adce6119f5322f49c8,No,NoDisponible,NoDisponible,,Si,,,,
45,Peromyscus schmidlyi,118613,-106.2936822,24.9671348,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2471,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d6207c1bfa87772cbc7ac85454c781a,2d6207c1bfa87772cbc7ac85454c781a,No,NoDisponible,NoDisponible,,Si,,,,
63,Peromyscus schmidlyi,118667,-106.1403339,25.0928835,,False,1,35.16,Mammalia,Rodentia,Cricetidae,2436,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=314b0e3e21a3a5dec161372b89d2a128,314b0e3e21a3a5dec161372b89d2a128,No,NoDisponible,NoDisponible,,Si,,,,
25,Peromyscus schmidlyi,123130,-105.3346666,23.8208333,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2518,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a78274de90c125f6fa03cf60d776b9d,3a78274de90c125f6fa03cf60d776b9d,No,NoDisponible,NoDisponible,,Si,,,,
3,Peromyscus schmidlyi,123130,-105.3347182,23.8194807,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e3c12526c458972039bd515388e5aa1,3e3c12526c458972039bd515388e5aa1,No,NoDisponible,NoDisponible,,Si,,,,
74,Peromyscus schmidlyi,127724,-104.6783167,23.0314,,False,1,34.57,Mammalia,Rodentia,Cricetidae,2590,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40516fdd9f3b35c75c3fec8cd68d30a0,40516fdd9f3b35c75c3fec8cd68d30a0,No,NoDisponible,NoDisponible,,Si,,,,
4,Peromyscus schmidlyi,123130,-105.3347182,23.8194807,,False,1,35.04,Mammalia,Rodentia,Cricetidae,2512,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4066487d9e897fda24f4fd494c739c18,4066487d9e897fda24f4fd494c739c18,No,NoDisponible,NoDisponible,,Si,,,,
57,Peromyscus schmidlyi,118613,-106.2936694,24.96856,,False,2,36.86,Mammalia,Rodentia,Cricetidae,2495,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44a1621ff495d21fcd9d25a55fc005fd,44a1621ff495d21fcd9d25a55fc005fd,No,NoDisponible,NoDisponible,,Si,,,,
64,Peromyscus schmidlyi,118667,-106.1403339,25.0928835,,False,1,35.16,Mammalia,Rodentia,Cricetidae,2436,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44d6acb15ef4f35314c84d4c940f2ed3,44d6acb15ef4f35314c84d4c940f2ed3,No,NoDisponible,NoDisponible,,Si,,,,
65,Peromyscus schmidlyi,118667,-106.1403339,25.0928835,,False,1,35.16,Mammalia,Rodentia,Cricetidae,2436,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45c454b223d5fbd3649d7ccf178baa5a,45c454b223d5fbd3649d7ccf178baa5a,No,NoDisponible,NoDisponible,,Si,,,,
