,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
167,Peromyscus spicilegus,136627,-103.67965,19.48198,,False,8,35.3,Mammalia,Rodentia,Cricetidae,1663,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=004ae93e29ce0432eefb1ece28b370d9,004ae93e29ce0432eefb1ece28b370d9,No,NoDisponible,,,,,,,
702,Peromyscus spicilegus,132114,-104.6328343,21.18685,,False,8,21.78,Mammalia,Rodentia,Cricetidae,880,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0074930ba130875b8b54a2e356c16c06,0074930ba130875b8b54a2e356c16c06,No,NoDisponible,,,,,,,
969,Peromyscus spicilegus,114111,-106.414,24.9291666,,False,8,20.08,Mammalia,Rodentia,Cricetidae,603,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0080dea75734403842690b0858181e44,0080dea75734403842690b0858181e44,No,NoDisponible,,,,,,,
1528,Peromyscus spicilegus,132321,-104.2963889,22.4622222,,False,8,20.08,Mammalia,Rodentia,Cricetidae,2424,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00af104098540f6562199288275b4dfc,00af104098540f6562199288275b4dfc,No,NoDisponible,,,,,,,
812,Peromyscus spicilegus,136590,-103.8627777,19.4230555,,False,8,34.99,Mammalia,Rodentia,Cricetidae,1829,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f96df45d2f792f832ebda433fce280,00f96df45d2f792f832ebda433fce280,No,NoDisponible,,,,,,,
184,Peromyscus spicilegus,141382,-103.455,19.9738889,,False,8,21.57,Mammalia,Rodentia,Cricetidae,1816,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0121e2ddf025a030ad357c0d3e36494b,0121e2ddf025a030ad357c0d3e36494b,No,NoDisponible,,,,,,,
1326,Peromyscus spicilegus,127252,-105.0730555,19.5266666,,False,8,8.51,Mammalia,Rodentia,Cricetidae,14,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0148a53c22dabffe9752139fbf500405,0148a53c22dabffe9752139fbf500405,Si,NoDisponible,No,No,Si,,,,
178,Peromyscus spicilegus,136627,-103.6897222,19.4652777,,False,8,35.3,Mammalia,Rodentia,Cricetidae,1402,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015dd825a20ac689c8710054e86c98aa,015dd825a20ac689c8710054e86c98aa,No,NoDisponible,,,,,,,
320,Peromyscus spicilegus,122991,-105.2682533,22.5849428,,False,8,9.64,Mammalia,Rodentia,Cricetidae,185,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=017f95437e645bb155f683fb8242ba60,017f95437e645bb155f683fb8242ba60,No,NoDisponible,,,,,,,
1186,Peromyscus spicilegus,131979,-104.3625,19.7680556,,False,8,28.55,Mammalia,Rodentia,Cricetidae,920,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018533f8591d76d1d44b900d51ce351e,018533f8591d76d1d44b900d51ce351e,No,NoDisponible,,,,,,,
228,Peromyscus spicilegus,141393,-103.435,20.0338889,,False,8,20.35,Mammalia,Rodentia,Cricetidae,1746,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01bdee1075920dd6ebdcc38a9467cc56,01bdee1075920dd6ebdcc38a9467cc56,No,NoDisponible,,,,,,,
