,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
163,Peromyscus truei,46879,-115.2779389,31.9884892,,False,1,0.66,Mammalia,Rodentia,Cricetidae,37,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a82549bdaab6bfb8f09e30b88af512,00a82549bdaab6bfb8f09e30b88af512,Si,NoDisponible,No,Si,Si,,,,
158,Peromyscus truei,38003,-116.2806014,31.9016,,False,2,13.91,Mammalia,Rodentia,Cricetidae,689,Terrestre,1987,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c10edfd2277bf5e0536a836ab76510,01c10edfd2277bf5e0536a836ab76510,No,NoDisponible,,,,,,,
247,Peromyscus truei,123146,-105.6333333,24.1,,False,2,11.11,Mammalia,Rodentia,Cricetidae,2467,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f5a89baaff26f36d5b0c817bc90cd9,01f5a89baaff26f36d5b0c817bc90cd9,Si,NoDisponible,No,No,No,,,,
59,Peromyscus truei,170379,-99.7871164,20.8610333,,False,2,14.99,Mammalia,Rodentia,Cricetidae,1831,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=027a40afaada4da25de5f95d5abdbc06,027a40afaada4da25de5f95d5abdbc06,Si,NoDisponible,No,No,No,,,,
285,Peromyscus truei,127792,-104.6666667,23.7,,False,2,8.19,Mammalia,Rodentia,Cricetidae,2310,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fc1b34a5d9f5e766e78edad9e7a615,02fc1b34a5d9f5e766e78edad9e7a615,Si,NoDisponible,No,No,No,,,,
187,Peromyscus truei,194762,-97.0083333,18.175,,False,2,8.72,Mammalia,Rodentia,Cricetidae,2246,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038c0016b3f9f5477ef8de435d1e2b2f,038c0016b3f9f5477ef8de435d1e2b2f,Si,NoDisponible,No,No,No,,,,
196,Peromyscus truei,151169,-102.3,21.8789,,False,2,11.01,Mammalia,Rodentia,Cricetidae,1864,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05d35d8b8690c957fcfcc0174a08d275,05d35d8b8690c957fcfcc0174a08d275,Si,NoDisponible,No,No,No,,,,
112,Peromyscus truei,123123,-105.3633333,23.7363888,,False,2,12.58,Mammalia,Rodentia,Cricetidae,2666,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0914ebf284874a53a02196a5c492604e,0914ebf284874a53a02196a5c492604e,Si,NoDisponible,No,No,No,,,,
60,Peromyscus truei,170379,-99.7871164,20.8610333,,False,2,14.99,Mammalia,Rodentia,Cricetidae,1831,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09a0c704c94cf4c7279067cd1403a70c,09a0c704c94cf4c7279067cd1403a70c,Si,NoDisponible,No,No,No,,,,
80,Peromyscus truei,146360,-102.5,21.8672222,,False,2,9.1,Mammalia,Rodentia,Cricetidae,2007,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3419845ccc65e0bb87c60674a28337,0b3419845ccc65e0bb87c60674a28337,Si,NoDisponible,No,No,No,,,,
209,Peromyscus truei,199502,-96.4111111,17.2183333,,False,2,8.96,Mammalia,Rodentia,Cricetidae,2304,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b4df39886d3d2c6d9eb1f22495f58e1,0b4df39886d3d2c6d9eb1f22495f58e1,Si,NoDisponible,No,No,No,,,,
