,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
2,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03030ff7b281fbddc435da01159aac64,03030ff7b281fbddc435da01159aac64,No,NoDisponible,,,,,,,
3,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0541808cbd2c0569b4839f5195a17603,0541808cbd2c0569b4839f5195a17603,No,NoDisponible,,,,,,,
20,Procyon pygmaeus,269563,-86.8759891,20.5923463,,False,3,39.18,Mammalia,Carnivora,Procyonidae,,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08da7e1fb485b231a8393eaf9ab7ec72,08da7e1fb485b231a8393eaf9ab7ec72,Si,NoDisponible,No,No,No,No,BufferCosteroMarinoContinental,,
4,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b18a8d19e8fd9b5dbfe6bd2e282f7b3,2b18a8d19e8fd9b5dbfe6bd2e282f7b3,No,NoDisponible,,,,,,,
5,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2e271cdd344b6f2b0f7fb40a09147b05,2e271cdd344b6f2b0f7fb40a09147b05,No,NoDisponible,,,,,,,
6,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f1b93c942d7995d5516e8c2aef169f4,2f1b93c942d7995d5516e8c2aef169f4,No,NoDisponible,,,,,,,
17,Procyon pygmaeus,269550,-86.91778,20.48861,,False,4,43.12,Mammalia,Carnivora,Procyonidae,23,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3781087da2f3611f8e0a960d8af93ddf,3781087da2f3611f8e0a960d8af93ddf,No,NoDisponible,,,,,,,
30,Procyon pygmaeus,269540,-86.99722,20.36889,,False,4,43.12,Mammalia,Carnivora,Procyonidae,19,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c8a406db3b9bc7a585f800e000babfa,3c8a406db3b9bc7a585f800e000babfa,No,NoDisponible,,,,,,,
7,Procyon pygmaeus,269550,-86.9416667,20.5166667,,False,4,43.12,Mammalia,Carnivora,Procyonidae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f2d3796fd821d7102bd4a5fdafedf02,3f2d3796fd821d7102bd4a5fdafedf02,No,NoDisponible,,,,,,,
28,Procyon pygmaeus,273478,-86.8043036,20.4859499,,False,3,39.18,Mammalia,Carnivora,Procyonidae,5,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e21ae9735719a792a1a5b550cb93f6c,4e21ae9735719a792a1a5b550cb93f6c,Si,NoDisponible,No,Si,Si,,,,
