,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
556,Pteronotus parnellii,96480,-109.010091,27.0375,,False,2,-0.86,Mammalia,Chiroptera,Mormoopidae,528,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00a6a2cac4eb384afb67303032f8fdba,00a6a2cac4eb384afb67303032f8fdba,No,NoDisponible,,,,,,,
962,Pteronotus parnellii,213505,-94.8083333,16.4583333,,False,3,12.99,Mammalia,Chiroptera,Mormoopidae,8,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ad247abf2493e3f9ee9bfd660e6a98,00ad247abf2493e3f9ee9bfd660e6a98,No,NoDisponible,,,,,,,
837,Pteronotus parnellii,122992,-105.237,22.6453333,,False,3,15.13,Mammalia,Chiroptera,Mormoopidae,379,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b4d79ff03db418aec54a0e59305d66,00b4d79ff03db418aec54a0e59305d66,No,NoDisponible,,,,,,,
789,Pteronotus parnellii,256579,-88.996425,18.139415,,False,3,17.4,Mammalia,Chiroptera,Mormoopidae,177,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c407280089bba3b27355aedff13a5a,00c407280089bba3b27355aedff13a5a,No,NoDisponible,,,,,,,
879,Pteronotus parnellii,248304,-89.6913889,21.0672222,,False,3,11.77,Mammalia,Chiroptera,Mormoopidae,13,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e7dfd5e8eb428a4427559415e74c19,00e7dfd5e8eb428a4427559415e74c19,No,NoDisponible,,,,,,,
1030,Pteronotus parnellii,247997,-89.8254166,18.5204999,,False,3,13.49,Mammalia,Chiroptera,Mormoopidae,181,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012544e1899f80a30ea50ba77dca1790,012544e1899f80a30ea50ba77dca1790,No,NoDisponible,,,,,,,
254,Pteronotus parnellii,136957,-103.5602805,22.3036083,,True,1,-11.46,Mammalia,Chiroptera,Mormoopidae,2202,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014e0dde7c3f9cdc6ceffbf5dc0b28e7,014e0dde7c3f9cdc6ceffbf5dc0b28e7,No,NoDisponible,,,,,,,
579,Pteronotus parnellii,118395,-105.82227,22.670551,,False,3,11.27,Mammalia,Chiroptera,Mormoopidae,22,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0163cf66efe7f8824b423fa073e6eaab,0163cf66efe7f8824b423fa073e6eaab,No,NoDisponible,,,,,,,
660,Pteronotus parnellii,122862,-105.283333,21.55,,False,3,11.47,Mammalia,Chiroptera,Mormoopidae,12,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018be0849fda0d8da71e378a248c0fb6,018be0849fda0d8da71e378a248c0fb6,No,NoDisponible,,,,,,,
838,Pteronotus parnellii,122992,-105.237,22.6453333,,False,3,15.13,Mammalia,Chiroptera,Mormoopidae,379,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ddbf9784a94e79fdaffe0dd7703b6e,01ddbf9784a94e79fdaffe0dd7703b6e,No,NoDisponible,,,,,,,
255,Pteronotus parnellii,136957,-103.5602805,22.3036083,,True,1,-11.46,Mammalia,Chiroptera,Mormoopidae,2202,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0211f43c359fb162d249fec23154d985,0211f43c359fb162d249fec23154d985,No,NoDisponible,,,,,,,
13,Pteronotus parnellii,218122,-94.1196944,17.0948333,,False,3,17.45,Mammalia,Chiroptera,Mormoopidae,93,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0232004263171bbd08be958b1aaf6aa2,0232004263171bbd08be958b1aaf6aa2,No,NoDisponible,,,,,,,
757,Pteronotus parnellii,209050,-95.2666666,18.4666666,,False,3,16.75,Mammalia,Chiroptera,Mormoopidae,413,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02622874d3eb63945ee83c0dc696b920,02622874d3eb63945ee83c0dc696b920,No,NoDisponible,,,,,,,
