,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
10,Reithrodontomys fulvescens,109756,-107.0011326,25.91472,,False,2,0.76,Mammalia,Rodentia,Cricetidae,2501,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00552e8313c54e681838d0b4b84b18f2,00552e8313c54e681838d0b4b84b18f2,Si,NoDisponible,No,Si,Si,,,,
915,Reithrodontomys fulvescens,136721,-104.0558333,20.5516667,,False,3,8.14,Mammalia,Rodentia,Cricetidae,1241,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00acc77fae3a4131d32e668415351271,00acc77fae3a4131d32e668415351271,No,NoDisponible,,,,,,,
721,Reithrodontomys fulvescens,180143,-98.3644444,20.4241667,,False,3,14.2,Mammalia,Rodentia,Cricetidae,1883,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00cc222b92f6e49694e9a04c07401bb8,00cc222b92f6e49694e9a04c07401bb8,No,NoDisponible,,,,,,,
214,Reithrodontomys fulvescens,169921,-100.0147,17.00599,,False,2,1.94,Mammalia,Rodentia,Cricetidae,82,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f7e953120a873122f14768956fad91,00f7e953120a873122f14768956fad91,Si,NoDisponible,No,Si,Si,,,,
827,Reithrodontomys fulvescens,150854,-102.2680556,19.4008333,,False,3,7.83,Mammalia,Rodentia,Cricetidae,2855,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0119740d14bfffabc045e2c102fe7eed,0119740d14bfffabc045e2c102fe7eed,No,NoDisponible,,,,,,,
471,Reithrodontomys fulvescens,137293,-103.858787,25.2012634,,True,1,-6.13,Mammalia,Rodentia,Cricetidae,1422,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013f7922116fe098837808266a288e5b,013f7922116fe098837808266a288e5b,No,NoDisponible,,,,,,,
972,Reithrodontomys fulvescens,170885,-100.0097222,25.1869444,,False,3,9.37,Mammalia,Rodentia,Cricetidae,690,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0148fddfc764bd26f189150f9c1bcf9d,0148fddfc764bd26f189150f9c1bcf9d,No,NoDisponible,,,,,,,
682,Reithrodontomys fulvescens,170874,-99.5833333,24.85,,False,2,-1.23,Mammalia,Rodentia,Cricetidae,359,Terrestre,1946,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01beb8386cd82734ba021effc8bddb80,01beb8386cd82734ba021effc8bddb80,No,NoDisponible,,,,,,,
96,Reithrodontomys fulvescens,194822,-97.1036111,18.8494444,,False,3,17.04,Mammalia,Rodentia,Cricetidae,1260,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028e7d7b44a2dbc6abf2ddb3648497a8,028e7d7b44a2dbc6abf2ddb3648497a8,No,NoDisponible,,,,,,,
203,Reithrodontomys fulvescens,169921,-100.01474,17.00585,,False,2,1.94,Mammalia,Rodentia,Cricetidae,81,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02a42034ed7a5d413877ea446643a7d1,02a42034ed7a5d413877ea446643a7d1,Si,NoDisponible,No,Si,Si,,,,
