,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
247,Reithrodontomys megalotis,189951,-97.1949611,19.6087909,,False,3,26.98,Mammalia,Rodentia,Cricetidae,2439,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0150ca1305cf2747b3531cb4c4fff88e,0150ca1305cf2747b3531cb4c4fff88e,No,NoDisponible,,,,,,,
350,Reithrodontomys megalotis,170144,-99.7984833,19.1366333,,False,3,31.85,Mammalia,Rodentia,Cricetidae,3679,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=031b296910a19ab60d9415d99e2f5e7f,031b296910a19ab60d9415d99e2f5e7f,No,NoDisponible,,,,,,,
400,Reithrodontomys megalotis,194666,-96.7188889,17.0833333,,False,2,13.26,Mammalia,Rodentia,Cricetidae,1599,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034f30b71b26415e399f30f9235da78b,034f30b71b26415e399f30f9235da78b,No,NoDisponible,,,,,,,
275,Reithrodontomys megalotis,194898,-97.1547146,19.5610839,,False,3,28.13,Mammalia,Rodentia,Cricetidae,2990,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03be6a27740f4836b4299fa5af5f0f3c,03be6a27740f4836b4299fa5af5f0f3c,No,NoDisponible,,,,,,,
546,Reithrodontomys megalotis,146180,-102.7716667,20.3508333,,False,2,2.6,Mammalia,Rodentia,Cricetidae,1536,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03ff7b557f74c4b1d9e255b8faa790b6,03ff7b557f74c4b1d9e255b8faa790b6,No,NoDisponible,,,,,,,
271,Reithrodontomys megalotis,118667,-106.1403339,25.0928835,,False,3,16.12,Mammalia,Rodentia,Cricetidae,2436,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04192330e586eba855a7283f2b32125a,04192330e586eba855a7283f2b32125a,Si,NoDisponible,No,No,Si,,,,
305,Reithrodontomys megalotis,175007,-99.175561,19.107246,,False,3,22.08,Mammalia,Rodentia,Cricetidae,3054,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=042c6049a726febd9b3a5f9264b9bfba,042c6049a726febd9b3a5f9264b9bfba,No,NoDisponible,,,,,,,
489,Reithrodontomys megalotis,128201,-105.0333333,27.1333333,,False,2,-8.1,Mammalia,Rodentia,Cricetidae,1412,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04a0ff0540e48fc6425c97d946b8e89b,04a0ff0540e48fc6425c97d946b8e89b,No,NoDisponible,,,,,,,
493,Reithrodontomys megalotis,105596,-107.5333333,28.45,,False,2,7.84,Mammalia,Rodentia,Cricetidae,2132,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0524124589395370d43c936689117e37,0524124589395370d43c936689117e37,Si,NoDisponible,No,No,Si,,,,
346,Reithrodontomys megalotis,189859,-97.3268833,18.67815,,False,3,37.44,Mammalia,Rodentia,Cricetidae,2443,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05329d0cfa5ecd5ef2894684bba7f9ca,05329d0cfa5ecd5ef2894684bba7f9ca,No,NoDisponible,,,,,,,
