,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1104,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000f3b815ebf020e917ec42225c1c3cf,000f3b815ebf020e917ec42225c1c3cf,No,NoDisponible,,,,,,,
1928,Reithrodontomys mexicanus,235024,-91.7255556,16.1305556,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1557,Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001a602ba6cce6f1de9c77ca310f734b,001a602ba6cce6f1de9c77ca310f734b,No,NoDisponible,,,,,,,
96,Reithrodontomys mexicanus,235024,-91.7277778,16.1338889,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1479,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00285adc2e459963bed9c974fdba36cc,00285adc2e459963bed9c974fdba36cc,No,NoDisponible,,,,,,,
1105,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0041ba9fd82e7f1e61f03120c2b14c15,0041ba9fd82e7f1e61f03120c2b14c15,No,NoDisponible,,,,,,,
56,Reithrodontomys mexicanus,235024,-91.7333333,16.1222222,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1476,Terrestre,1996,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0045195d9b422f105d1041d1292c4f03,0045195d9b422f105d1041d1292c4f03,No,NoDisponible,,,,,,,
1106,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00772ec207e9f95cbc84869a1952132c,00772ec207e9f95cbc84869a1952132c,No,NoDisponible,,,,,,,
1107,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007ac87053474e0768fd16db858411c2,007ac87053474e0768fd16db858411c2,No,NoDisponible,,,,,,,
1108,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00959969f0a653beddd0fb79c4a79216,00959969f0a653beddd0fb79c4a79216,No,NoDisponible,,,,,,,
1109,Reithrodontomys mexicanus,235024,-91.7258333,16.1352778,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1478,Terrestre,1999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d2a5e7e3f27386f7f701fddec60be8,00d2a5e7e3f27386f7f701fddec60be8,No,NoDisponible,,,,,,,
1073,Reithrodontomys mexicanus,235024,-91.7294444,16.115,,False,7,30.76,Mammalia,Rodentia,Cricetidae,1474,Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e307d4329a0a2b8f7bb115d50f920e,00e307d4329a0a2b8f7bb115d50f920e,No,NoDisponible,,,,,,,
