,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
24,Reithrodontomys microdon,179739,-98.6511167,17.3048667,,False,2,33.73,Mammalia,Rodentia,Cricetidae,2610,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00357a2868b609b679a21900983b0e8b,00357a2868b609b679a21900983b0e8b,No,NoDisponible,Si,,Si,,,,
43,Reithrodontomys microdon,175050,-99.25,19.25,,False,2,31.59,Mammalia,Rodentia,Cricetidae,2950,Terrestre,9999,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012d6cf7786fe87d7ac4324ec89e59ce,012d6cf7786fe87d7ac4324ec89e59ce,No,NoDisponible,Si,,Si,,,,
30,Reithrodontomys microdon,230732,-92.3399444,15.4263333,,False,2,40.42,Mammalia,Rodentia,Cricetidae,2973,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080ab09f1a40679f84a093ca9ef53776,080ab09f1a40679f84a093ca9ef53776,No,NoDisponible,Si,,Si,,,,
40,Reithrodontomys microdon,230850,-92.5027778,16.5402778,,False,2,36.2,Mammalia,Rodentia,Cricetidae,1727,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086e7106ace3631c0e0bc1f810964759,086e7106ace3631c0e0bc1f810964759,No,NoDisponible,Si,,Si,,,,
62,Reithrodontomys microdon,194738,-96.8138889,17.9416667,,False,3,63.99,Mammalia,Rodentia,Cricetidae,1939,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09de6ed05da47c63a24c5676589f9508,09de6ed05da47c63a24c5676589f9508,No,NoDisponible,Si,,Si,,,,
46,Reithrodontomys microdon,199604,-96.1708333,17.9469444,,True,0,-37.86,Mammalia,Rodentia,Cricetidae,34,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c8205d58f940bdf73157281bbc7fa6e,0c8205d58f940bdf73157281bbc7fa6e,No,NoDisponible,Si,,Si,,,,
31,Reithrodontomys microdon,230732,-92.3399444,15.4263333,,False,2,40.42,Mammalia,Rodentia,Cricetidae,2973,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f0493fe92dfffc2f570366e8326bc2a,0f0493fe92dfffc2f570366e8326bc2a,No,NoDisponible,Si,,Si,,,,
18,Reithrodontomys microdon,150856,-102.2440826,19.42678,,False,2,32.22,Mammalia,Rodentia,Cricetidae,2736,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15119f6c241cc55a6bee04a0d0edceb0,15119f6c241cc55a6bee04a0d0edceb0,No,NoDisponible,Si,,Si,,,,
10,Reithrodontomys microdon,169999,-99.7684456,17.6883333,,False,2,18.64,Mammalia,Rodentia,Cricetidae,1443,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17b5e9e2d50b051bb97b1ba729de5c21,17b5e9e2d50b051bb97b1ba729de5c21,No,NoDisponible,Si,,Si,,,,
51,Reithrodontomys microdon,199556,-96.5069444,17.6319444,,False,3,60.3,Mammalia,Rodentia,Cricetidae,2603,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cdbed855393a355a96496601992a0aa,1cdbed855393a355a96496601992a0aa,No,NoDisponible,Si,,Si,,,,
