,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
9,Rheomys mexicanus,213505,-94.8416667,16.475,,True,1,-36.26,Mammalia,Rodentia,Cricetidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b7ec732ae6327dfcdd5b68cfbf1835e,2b7ec732ae6327dfcdd5b68cfbf1835e,No,NoDisponible,,,,,,,
0,Rheomys mexicanus,199392,-96.3353058,16.3777778,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1696,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3424518dbbd6a404ed47c6a89dce9fe9,3424518dbbd6a404ed47c6a89dce9fe9,No,NoDisponible,,,,,,,
1,Rheomys mexicanus,199392,-96.3416667,16.3916667,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1665,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c2126b3b05d9884ba36c1333c192e5b,3c2126b3b05d9884ba36c1333c192e5b,No,NoDisponible,,,,,,,
2,Rheomys mexicanus,199392,-96.3416667,16.3916667,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1665,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44b14c7e1b5fcc87572125f4d8d9d871,44b14c7e1b5fcc87572125f4d8d9d871,No,NoDisponible,,,,,,,
3,Rheomys mexicanus,199392,-96.3416667,16.3916667,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1665,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f1045769bb9cdbf01c6760531ca8f41,5f1045769bb9cdbf01c6760531ca8f41,No,NoDisponible,,,,,,,
6,Rheomys mexicanus,199392,-96.3361111,16.3763889,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1721,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=633075b5e4e12c4c321005ab247f07ad,633075b5e4e12c4c321005ab247f07ad,No,NoDisponible,,,,,,,
10,Rheomys mexicanus,213505,-94.8416667,16.475,,True,1,-36.26,Mammalia,Rodentia,Cricetidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8a0d66bfcba5786e03813b5ff705f505,8a0d66bfcba5786e03813b5ff705f505,No,NoDisponible,,,,,,,
4,Rheomys mexicanus,199392,-96.3416667,16.3916667,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1665,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8d76d8e5c43bb8eee184ea7aafbf2022,8d76d8e5c43bb8eee184ea7aafbf2022,No,NoDisponible,,,,,,,
7,Rheomys mexicanus,199392,-96.3330556,16.3833333,,False,3,40.51,Mammalia,Rodentia,Cricetidae,1682,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9a202c434213fdc50415fc705e69840b,9a202c434213fdc50415fc705e69840b,No,NoDisponible,,,,,,,
8,Rheomys mexicanus,199502,-96.428,17.2166666,,False,2,28.57,Mammalia,Rodentia,Cricetidae,2212,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a31d67d39f2734f4f2a6c764cc5a83c3,a31d67d39f2734f4f2a6c764cc5a83c3,No,NoDisponible,,,,,,,
