,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
111,Rhogeessa tumida,230662,-92.5602778,15.0097222,,False,4,17.09,Mammalia,Chiroptera,Vespertilionidae,8,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00647c1ac119fdfaff165985aeb0aee9,00647c1ac119fdfaff165985aeb0aee9,No,NoDisponible,,,,,,,
190,Rhogeessa tumida,175539,-99.098785,23.2617626,,False,3,7.4,Mammalia,Chiroptera,Vespertilionidae,433,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009cf5a8a76f6d79c4f4e0878319c197,009cf5a8a76f6d79c4f4e0878319c197,No,NoDisponible,,,,,,,
384,Rhogeessa tumida,189860,-97.3069444,18.7477778,,True,0,-87.98,Mammalia,Chiroptera,Vespertilionidae,1968,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00cf85561c50eb53fe2373cf2d8c5eff,00cf85561c50eb53fe2373cf2d8c5eff,No,NoDisponible,,,,,,,
210,Rhogeessa tumida,180210,-98.5681,21.1714993,,False,3,12.29,Mammalia,Chiroptera,Vespertilionidae,222,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015d8b4add7883b0e5a5e6fbeaf9cac8,015d8b4add7883b0e5a5e6fbeaf9cac8,Si,NoDisponible,No,No,Si,,,,
374,Rhogeessa tumida,226546,-92.7927778,15.7161111,,False,3,-0.93,Mammalia,Chiroptera,Vespertilionidae,1038,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c3c24030b0bd0e9a58c9b18d94f6a5,01c3c24030b0bd0e9a58c9b18d94f6a5,No,NoDisponible,,,,,,,
97,Rhogeessa tumida,230796,-92.3244444,16.0277778,,False,3,8.9,Mammalia,Chiroptera,Vespertilionidae,513,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=032dcbe40952d07af0e23121ed5e00fb,032dcbe40952d07af0e23121ed5e00fb,Si,NoDisponible,No,No,Si,,,,
421,Rhogeessa tumida,218038,-93.9908333,16.4072222,,False,3,9.76,Mammalia,Chiroptera,Vespertilionidae,817,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=033fa78b3e967fbf915421b40c04b562,033fa78b3e967fbf915421b40c04b562,Si,NoDisponible,No,No,Si,,,,
121,Rhogeessa tumida,180328,-98.4970979,22.092,,False,3,10.47,Mammalia,Chiroptera,Vespertilionidae,13,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0426a65ba9007e5b2e2e13a00d4d63a9,0426a65ba9007e5b2e2e13a00d4d63a9,No,NoDisponible,,,,,,,
308,Rhogeessa tumida,230690,-92.26056,14.90806,,False,4,22.05,Mammalia,Chiroptera,Vespertilionidae,178,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06678845f53929c3cc6f7e0093ff8205,06678845f53929c3cc6f7e0093ff8205,No,NoDisponible,,,,,,,
191,Rhogeessa tumida,175539,-99.098785,23.2617626,,False,3,7.4,Mammalia,Chiroptera,Vespertilionidae,433,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f66173e509783cdc68b4709665c0cf,06f66173e509783cdc68b4709665c0cf,No,NoDisponible,,,,,,,
303,Rhogeessa tumida,256540,-88.8749999,17.9397222,,False,4,21.86,Mammalia,Chiroptera,Vespertilionidae,17,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07aa3122a7cde19bd7c82927deaf14ba,07aa3122a7cde19bd7c82927deaf14ba,No,NoDisponible,,,,,,,
164,Rhogeessa tumida,175525,-99.158501,23.11343,,False,3,12.12,Mammalia,Chiroptera,Vespertilionidae,226,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e71e5fb5e414d59822fee044f27309,07e71e5fb5e414d59822fee044f27309,No,NoDisponible,,,,,,,
33,Rhogeessa tumida,199683,-96.4583333,18.6916667,,False,4,19.46,Mammalia,Chiroptera,Vespertilionidae,98,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08984b7fd1cb2509fa31ecbd6c377a64,08984b7fd1cb2509fa31ecbd6c377a64,No,NoDisponible,,,,,,,
192,Rhogeessa tumida,175539,-99.098785,23.2617626,,False,3,7.4,Mammalia,Chiroptera,Vespertilionidae,433,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09f1bb7283e172526fad6e2d6becc603,09f1bb7283e172526fad6e2d6becc603,No,NoDisponible,,,,,,,
401,Rhogeessa tumida,218057,-94.0883333,16.4583333,,False,3,5.53,Mammalia,Chiroptera,Vespertilionidae,776,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aad2a3d35823607cd2a5df3b4cb62d9,0aad2a3d35823607cd2a5df3b4cb62d9,Si,NoDisponible,No,No,Si,,,,
25,Rhogeessa tumida,199751,-96.4916667,19.325,,False,3,8.62,Mammalia,Chiroptera,Vespertilionidae,84,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ada8bcf4e71743830d8a14f7f2b85b3,0ada8bcf4e71743830d8a14f7f2b85b3,No,NoDisponible,,,,,,,
193,Rhogeessa tumida,175539,-99.098785,23.2617626,,False,3,7.4,Mammalia,Chiroptera,Vespertilionidae,433,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b3e13b00b2ecfc45bb816ef4078cd0b,0b3e13b00b2ecfc45bb816ef4078cd0b,No,NoDisponible,,,,,,,
212,Rhogeessa tumida,204308,-95.900833,17.8861103,,False,4,16.21,Mammalia,Chiroptera,Vespertilionidae,59,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ba9e888ec18da806aa4fb3eef3e5a95,0ba9e888ec18da806aa4fb3eef3e5a95,No,NoDisponible,,,,,,,
26,Rhogeessa tumida,199751,-96.4916667,19.325,,False,3,8.62,Mammalia,Chiroptera,Vespertilionidae,84,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c5d00f0cba502e3f111eadd6a715d55,0c5d00f0cba502e3f111eadd6a715d55,No,NoDisponible,,,,,,,
221,Rhogeessa tumida,252461,-89.21694,19.87417,,False,3,10.55,Mammalia,Chiroptera,Vespertilionidae,145,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d41d073721c3a57deddd2c1df269ef5,0d41d073721c3a57deddd2c1df269ef5,Si,NoDisponible,No,No,Si,,,,
142,Rhogeessa tumida,248304,-89.695833,21.0641667,,False,3,13.42,Mammalia,Chiroptera,Vespertilionidae,43,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f568edef7a3d6ffb723650bb87fc9dd,0f568edef7a3d6ffb723650bb87fc9dd,Si,NoDisponible,No,No,Si,,,,
414,Rhogeessa tumida,222394,-93.2097222,15.6972222,,False,4,19.01,Mammalia,Chiroptera,Vespertilionidae,63,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fd7edca5c9d1149989125ddb983419e,0fd7edca5c9d1149989125ddb983419e,Si,NoDisponible,No,No,Si,,,,
307,Rhogeessa tumida,230690,-92.26056,14.90806,,False,4,22.05,Mammalia,Chiroptera,Vespertilionidae,178,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10980ee50ad6a0daecf11ff5de3372a2,10980ee50ad6a0daecf11ff5de3372a2,No,NoDisponible,,,,,,,
34,Rhogeessa tumida,208997,-95.1416667,17.7416667,,False,4,16.54,Mammalia,Chiroptera,Vespertilionidae,18,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11534303c18bbfc452be2efc5e718cfb,11534303c18bbfc452be2efc5e718cfb,No,NoDisponible,,,,,,,
230,Rhogeessa tumida,185350,-98.2409333,23.1440611,,False,3,10.37,Mammalia,Chiroptera,Vespertilionidae,698,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=119729f43b08a305b7288f73dfdbc342,119729f43b08a305b7288f73dfdbc342,No,NoDisponible,,,,,,,
2,Rhogeessa tumida,213655,-94.731392,17.9638882,,False,4,17.82,Mammalia,Chiroptera,Vespertilionidae,32,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11f19040fd5095143539262bfba29e22,11f19040fd5095143539262bfba29e22,No,NoDisponible,,,,,,,
377,Rhogeessa tumida,226546,-92.7930556,15.7152778,,False,3,-0.93,Mammalia,Chiroptera,Vespertilionidae,1041,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=11ff77f31ac30370296959b6b0a29b38,11ff77f31ac30370296959b6b0a29b38,No,NoDisponible,,,,,,,
412,Rhogeessa tumida,222395,-93.1663889,15.6644444,,False,4,20.96,Mammalia,Chiroptera,Vespertilionidae,39,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=121279df272d45fb6c45f7e9b61cbfd8,121279df272d45fb6c45f7e9b61cbfd8,Si,NoDisponible,No,No,Si,,,,
115,Rhogeessa tumida,194919,-96.795,19.3594444,,False,4,16.71,Mammalia,Chiroptera,Vespertilionidae,513,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12141b4dd33ec4dc5fef2e25836fc7c0,12141b4dd33ec4dc5fef2e25836fc7c0,No,NoDisponible,,,,,,,
235,Rhogeessa tumida,185033,-98.15,20.3194444,,False,3,5.55,Mammalia,Chiroptera,Vespertilionidae,1439,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12c2059179a785a99baddd66dca37ca8,12c2059179a785a99baddd66dca37ca8,Si,NoDisponible,No,No,Si,,,,
236,Rhogeessa tumida,185033,-98.15,20.3194444,,False,3,5.55,Mammalia,Chiroptera,Vespertilionidae,1439,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=142b48c9dea8f59fbf8d24e15e503beb,142b48c9dea8f59fbf8d24e15e503beb,Si,NoDisponible,No,No,Si,,,,
