,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
189,Romerolagus diazi,175084,-98.912339,19.270652,,True,4,-37.02,Mammalia,Lagomorpha,Leporidae,2223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0140780d268c69a43f6fd69967b65808,0140780d268c69a43f6fd69967b65808,Si,NoDisponible,No,Si,Si,,,,
120,Romerolagus diazi,175007,-99.1931599,19.1061111,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3035,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014bb7778aba032e1683895e2aa2121f,014bb7778aba032e1683895e2aa2121f,No,NoDisponible,,,,,,,
271,Romerolagus diazi,175002,-99.2658333,19.0280556,,True,4,-39.77,Mammalia,Lagomorpha,Leporidae,2529,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=028e7c21f5cc5557f415193a333a8a77,028e7c21f5cc5557f415193a333a8a77,No,NoDisponible,,,,,,,
190,Romerolagus diazi,175084,-98.912339,19.270652,,True,4,-37.02,Mammalia,Lagomorpha,Leporidae,2223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0390f0f0820b3b7631330c223f3c8cfb,0390f0f0820b3b7631330c223f3c8cfb,Si,NoDisponible,No,Si,Si,,,,
172,Romerolagus diazi,175032,-99.0775,19.1405556,,False,5,53.55,Mammalia,Lagomorpha,Leporidae,3077,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03983669262ab0a535d941d3ef47d0c8,03983669262ab0a535d941d3ef47d0c8,No,NoDisponible,,,,,,,
53,Romerolagus diazi,175030,-99.125,19.15,,False,5,42.9,Mammalia,Lagomorpha,Leporidae,3209,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=056f5109f56737f6f4bea17f1d58bc4d,056f5109f56737f6f4bea17f1d58bc4d,No,NoDisponible,,,,,,,
183,Romerolagus diazi,179958,-98.5852814,19.1741675,,False,5,58.92,Mammalia,Lagomorpha,Leporidae,3518,Terrestre,1935,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06d17ba5dc41852531750255ed9bd44c,06d17ba5dc41852531750255ed9bd44c,No,NoDisponible,,,,,,,
117,Romerolagus diazi,175007,-99.2197222,19.1025,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3011,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=095cfdeeaf0a5bfab3eed096b62b664e,095cfdeeaf0a5bfab3eed096b62b664e,No,NoDisponible,,,,,,,
118,Romerolagus diazi,175007,-99.1819444,19.0911111,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3210,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b2b6665aa6981011c446e65b7c5a3a2,0b2b6665aa6981011c446e65b7c5a3a2,No,NoDisponible,,,,,,,
191,Romerolagus diazi,175084,-98.912339,19.270652,,True,4,-37.02,Mammalia,Lagomorpha,Leporidae,2223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fc9db33c96009d18ac23788978a7de7,0fc9db33c96009d18ac23788978a7de7,Si,NoDisponible,No,Si,Si,,,,
166,Romerolagus diazi,175075,-99.0375,19.195,Ejemplar fuera de su área de distribución.,False,5,36.61,Mammalia,Lagomorpha,Leporidae,2440,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13f999c8985e8fe7a58fb86df192ced5,13f999c8985e8fe7a58fb86df192ced5,Si,NoDisponible,No,Si,Si,,,,
104,Romerolagus diazi,175007,-99.1825,19.0908333,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3217,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15be1daeac26bbce2e4b3580796c2c2f,15be1daeac26bbce2e4b3580796c2c2f,No,NoDisponible,,,,,,,
28,Romerolagus diazi,175030,-99.1713889,19.1333333,,False,5,42.9,Mammalia,Lagomorpha,Leporidae,3015,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1654f8468f82f9bf755c0829368518f0,1654f8468f82f9bf755c0829368518f0,No,NoDisponible,,,,,,,
29,Romerolagus diazi,175030,-99.1713889,19.1333333,,False,5,42.9,Mammalia,Lagomorpha,Leporidae,3015,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1728da271308487b09f259c9c16e18f7,1728da271308487b09f259c9c16e18f7,No,NoDisponible,,,,,,,
79,Romerolagus diazi,175007,-99.1941667,19.1105556,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3050,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=193505151c57fdbccd21df24a8a1ad17,193505151c57fdbccd21df24a8a1ad17,No,NoDisponible,,,,,,,
255,Romerolagus diazi,179924,-98.7580694,19.0206588,,False,5,31.23,Mammalia,Lagomorpha,Leporidae,2437,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1999d01aa9cf5a2f162ca0696d143cd4,1999d01aa9cf5a2f162ca0696d143cd4,No,NoDisponible,,,,,,,
8,Romerolagus diazi,179935,-98.646787,19.08687,,False,5,54.69,Mammalia,Lagomorpha,Leporidae,3699,Terrestre,1942,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a89873da123595034d27e826f46f007,1a89873da123595034d27e826f46f007,No,NoDisponible,,,,,,,
241,Romerolagus diazi,174991,-99.2297222,18.7816666,Ejemplar fuera de su área de distribución.,True,2,-140.88,Mammalia,Lagomorpha,Leporidae,1118,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b2b04e8508aca340ff192b9969a4cdf,1b2b04e8508aca340ff192b9969a4cdf,Si,NoDisponible,No,No,Si,,,,
108,Romerolagus diazi,175007,-99.1769444,19.0927778,,False,5,38.25,Mammalia,Lagomorpha,Leporidae,3146,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b75c4ca657d77dbbc3342d486272a4e,1b75c4ca657d77dbbc3342d486272a4e,No,NoDisponible,,,,,,,
62,Romerolagus diazi,175006,-99.2919444,19.135,,False,5,43.75,Mammalia,Lagomorpha,Leporidae,3059,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c027db777778d87f73f1a00e9e13094,1c027db777778d87f73f1a00e9e13094,No,NoDisponible,,,,,,,
218,Romerolagus diazi,179932,-98.6511908,19.0177738,,False,5,56.64,Mammalia,Lagomorpha,Leporidae,4206,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c47b323610920312f9d1be92d4fee3c,1c47b323610920312f9d1be92d4fee3c,No,NoDisponible,,,,,,,
167,Romerolagus diazi,175075,-99.0375,19.195,Ejemplar fuera de su área de distribución.,False,5,36.61,Mammalia,Lagomorpha,Leporidae,2440,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c5a54ac8821e870adab4cd5d4dd2849,1c5a54ac8821e870adab4cd5d4dd2849,Si,NoDisponible,No,Si,Si,,,,
252,Romerolagus diazi,175041,-99.3909669,19.1965672,,False,5,36.82,Mammalia,Lagomorpha,Leporidae,2968,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c918b30e1ea232c25ef190d4c7d5eb1,1c918b30e1ea232c25ef190d4c7d5eb1,No,NoDisponible,,,,,,,
192,Romerolagus diazi,175084,-98.912339,19.270652,,True,4,-37.02,Mammalia,Lagomorpha,Leporidae,2223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e3f80450aa5e58c4e907d44eef0ef3d,1e3f80450aa5e58c4e907d44eef0ef3d,Si,NoDisponible,No,Si,Si,,,,
132,Romerolagus diazi,175049,-99.255,19.2369444,,False,5,50.28,Mammalia,Lagomorpha,Leporidae,3099,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f3e242c114b7e49de5d21d3cdac30c1,1f3e242c114b7e49de5d21d3cdac30c1,No,NoDisponible,,,,,,,
168,Romerolagus diazi,175075,-99.0375,19.195,Ejemplar fuera de su área de distribución.,False,5,36.61,Mammalia,Lagomorpha,Leporidae,2440,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f56071da4cbd1b12544df401dcc18ed,1f56071da4cbd1b12544df401dcc18ed,Si,NoDisponible,No,Si,Si,,,,
