,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Saccopteryx leptura,218122,-94.1196944,17.0948333,,False,3,35.85,Mammalia,Chiroptera,Emballonuridae,93,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cd1aafca76c1c15400b51ac10df95b0,0cd1aafca76c1c15400b51ac10df95b0,Si,NoDisponible,NoDisponible,No,No,,,,
1,Saccopteryx leptura,218122,-94.1196944,17.0948333,,False,3,35.85,Mammalia,Chiroptera,Emballonuridae,93,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2132d543ae8cb035872f61664b8a8edc,2132d543ae8cb035872f61664b8a8edc,Si,NoDisponible,NoDisponible,No,No,,,,
9,Saccopteryx leptura,222402,-93.6666667,16.0030556,,False,2,30.57,Mammalia,Chiroptera,Emballonuridae,60,Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21584bcf2f98de324ca473d5c8cadb88,21584bcf2f98de324ca473d5c8cadb88,No,NoDisponible,NoDisponible,,,,,,
7,Saccopteryx leptura,218031,-93.755,16.0863889,,False,2,30.57,Mammalia,Chiroptera,Emballonuridae,45,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=256b316fe56d122055c57feb5529378d,256b316fe56d122055c57feb5529378d,No,NoDisponible,NoDisponible,,,,,,
5,Saccopteryx leptura,235165,-91.8091667,17.4316667,,False,1,19.88,Mammalia,Chiroptera,Emballonuridae,275,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37faf9fef2f62dd2fdc3e0691d8246f5,37faf9fef2f62dd2fdc3e0691d8246f5,No,NoDisponible,NoDisponible,,,,,,
2,Saccopteryx leptura,218122,-94.1196944,17.0948333,,False,3,35.85,Mammalia,Chiroptera,Emballonuridae,93,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38e1b6006ac9e981b54e3f1a01f760a7,38e1b6006ac9e981b54e3f1a01f760a7,Si,NoDisponible,NoDisponible,No,No,,,,
10,Saccopteryx leptura,222402,-93.6572222,15.9972222,,False,2,30.57,Mammalia,Chiroptera,Emballonuridae,57,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5113f424fe8bdcd26d38b0fbf14ea563,5113f424fe8bdcd26d38b0fbf14ea563,No,NoDisponible,NoDisponible,,,,,,
3,Saccopteryx leptura,218122,-94.1196944,17.0948333,,False,3,35.85,Mammalia,Chiroptera,Emballonuridae,93,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=74c209c286c30b9c6b47e8e4c6392894,74c209c286c30b9c6b47e8e4c6392894,Si,NoDisponible,NoDisponible,No,No,,,,
4,Saccopteryx leptura,239214,-90.9369444,16.1086111,,False,1,16.69,Mammalia,Chiroptera,Emballonuridae,178,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ac210c49caa5db05484a047e8a8539b4,ac210c49caa5db05484a047e8a8539b4,No,NoDisponible,NoDisponible,,,,,,
6,Saccopteryx leptura,239293,-90.9705556,16.8961111,,False,0,5.3,Mammalia,Chiroptera,Emballonuridae,169,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ac2b9a1a9299ef5dfd967a7cbf534ed1,ac2b9a1a9299ef5dfd967a7cbf534ed1,No,NoDisponible,NoDisponible,,,,,,
8,Saccopteryx leptura,222405,-93.6572222,16.0833333,,False,4,39.95,Mammalia,Chiroptera,Emballonuridae,534,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cf3ca10636d1d8c88175ff1e430fdfdf,cf3ca10636d1d8c88175ff1e430fdfdf,No,NoDisponible,NoDisponible,,,,,,
