,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
0,Sciurus niger,166317,-100.1261541,27.2351899,,False,3,24.18,Mammalia,Rodentia,Sciuridae,196,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e0d7c87f730b51049308eb8e0d1a43,02e0d7c87f730b51049308eb8e0d1a43,Si,NoDisponible,No,No,Si,,,,
12,Sciurus niger,156751,-101.5144444,28.2775,,False,2,15.86,Mammalia,Rodentia,Sciuridae,542,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0547dd13b21b6352e9b7cea7a5e3ac0c,0547dd13b21b6352e9b7cea7a5e3ac0c,No,NoDisponible,,,,,,,
4,Sciurus niger,156722,-101.4066788,27.9634758,,False,3,25.01,Mammalia,Rodentia,Sciuridae,410,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5615de03c5f3b7d7b8fd0d7f844300,0a5615de03c5f3b7d7b8fd0d7f844300,No,NoDisponible,,,,,,,
9,Sciurus niger,156724,-101.3607219,27.9580169,,False,3,22.54,Mammalia,Rodentia,Sciuridae,400,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=27210cf526d3b2daf79fba1f8c7d1dad,27210cf526d3b2daf79fba1f8c7d1dad,No,NoDisponible,,,,,,,
2,Sciurus niger,166317,-100.1259824,27.235018,,False,3,24.18,Mammalia,Rodentia,Sciuridae,195,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3017d1a420ea365c4de3fbd150f5afaa,3017d1a420ea365c4de3fbd150f5afaa,Si,NoDisponible,No,No,Si,,,,
5,Sciurus niger,161680,-100.9618819,29.3281249,,False,3,26.91,Mammalia,Rodentia,Sciuridae,270,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ce7e0988709fc152494987b832b36cf,3ce7e0988709fc152494987b832b36cf,No,NoDisponible,,,,,,,
1,Sciurus niger,166317,-100.1235577,27.2353997,,False,3,24.18,Mammalia,Rodentia,Sciuridae,198,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d2c8fdbe2acfe13a5f0d55490d00234,3d2c8fdbe2acfe13a5f0d55490d00234,Si,NoDisponible,No,No,Si,,,,
6,Sciurus niger,166401,-100.5674741,28.1809808,,False,3,24.17,Mammalia,Rodentia,Sciuridae,331,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=451e30b43eb07f97b21e1e29fb746069,451e30b43eb07f97b21e1e29fb746069,No,NoDisponible,,,,,,,
7,Sciurus niger,161478,-101.1235688,27.8389499,,False,3,23.23,Mammalia,Rodentia,Sciuridae,347,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4c8522750eb46a30cbc6a618dc59f9a4,4c8522750eb46a30cbc6a618dc59f9a4,No,NoDisponible,,,,,,,
3,Sciurus niger,161574,-100.8616319,28.3349827,,False,2,19.16,Mammalia,Rodentia,Sciuridae,391,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4e1549f867121700254cc1913caebd0f,4e1549f867121700254cc1913caebd0f,No,NoDisponible,,,,,,,
11,Sciurus niger,156405,-101.4325,25.46056,,False,1,1.13,Mammalia,Rodentia,Sciuridae,1313,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8460ac866e8e00a74dd80b08a59eaa72,8460ac866e8e00a74dd80b08a59eaa72,Si,NoDisponible,No,No,Si,,,,
13,Sciurus niger,156718,-101.3038889,27.8283333,,False,3,20.64,Mammalia,Rodentia,Sciuridae,410,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a81f404f16c223e31236010120b1b460,a81f404f16c223e31236010120b1b460,No,NoDisponible,,,,,,,
10,Sciurus niger,142041,-103.33083,25.35972,,True,0,-7.08,Mammalia,Rodentia,Sciuridae,1169,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e82ae479d8262deefc63fcf94b38234d,e82ae479d8262deefc63fcf94b38234d,Si,NoDisponible,No,No,Si,,,,
8,Sciurus niger,156687,-101.4844138,27.7673038,,False,2,13.2,Mammalia,Rodentia,Sciuridae,1083,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f330cd1af34d7060dbaa33abc0dd8e5b,f330cd1af34d7060dbaa33abc0dd8e5b,Si,NoDisponible,No,Si,Si,,,,
