,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Sciurus oculatus,165610,-100.111675,21.415738,,False,1,16.75,Mammalia,Rodentia,Sciuridae,1922,Terrestre,1939,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a7c3145f53a10bed230afb559734b60,0a7c3145f53a10bed230afb559734b60,No,NoDisponible,,,,,,,
23,Sciurus oculatus,170419,-99.62553,21.13465,,False,2,30.65,Mammalia,Rodentia,Sciuridae,2352,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c1d5d27100da930e104a0afe57a2cc9,0c1d5d27100da930e104a0afe57a2cc9,No,NoDisponible,,,,,,,
0,Sciurus oculatus,194901,-97.0983333,19.635,,False,3,38.72,Mammalia,Rodentia,Sciuridae,2447,Terrestre,1888,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e51f9d89758482fa7abd531f22117a0,0e51f9d89758482fa7abd531f22117a0,No,NoDisponible,,,,,,,
29,Sciurus oculatus,155669,-101.7509505,19.6404116,,False,1,15.27,Mammalia,Rodentia,Sciuridae,2479,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a6e4a56f31d310f5fb62207ecfb94bc,1a6e4a56f31d310f5fb62207ecfb94bc,No,NoDisponible,,,,,,,
9,Sciurus oculatus,160504,-100.806942,19.66662,,False,2,24.49,Mammalia,Rodentia,Sciuridae,2660,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f5a94d28871d760c194f9cbe91dc3f2,1f5a94d28871d760c194f9cbe91dc3f2,No,NoDisponible,,,,,,,
5,Sciurus oculatus,165118,-100.170976,17.476865,,False,3,35.92,Mammalia,Rodentia,Sciuridae,2602,Terrestre,1947,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f100059ca1897cd86162a43c83f388f,2f100059ca1897cd86162a43c83f388f,Si,NoDisponible,No,Si,No,,,,
18,Sciurus oculatus,170419,-99.6253993,21.1341667,,False,2,30.65,Mammalia,Rodentia,Sciuridae,2332,Terrestre,1949,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30a0b34aa021b7258e609b935d8cea63,30a0b34aa021b7258e609b935d8cea63,No,NoDisponible,,,,,,,
24,Sciurus oculatus,170419,-99.62553,21.13465,,False,2,30.65,Mammalia,Rodentia,Sciuridae,2352,Terrestre,1896,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=330f09984bdece4c339dd6ea8a54aa92,330f09984bdece4c339dd6ea8a54aa92,No,NoDisponible,,,,,,,
30,Sciurus oculatus,150864,-102.1186319,19.409218,,False,1,9.91,Mammalia,Rodentia,Sciuridae,1871,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3afb8cd9c4cef7b2a758660144b5d81f,3afb8cd9c4cef7b2a758660144b5d81f,No,NoDisponible,,,,,,,
33,Sciurus oculatus,146413,-102.4778527,22.0435436,,False,1,16.45,Mammalia,Rodentia,Sciuridae,2373,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e32dac0676f8421aa13862779602e7d,3e32dac0676f8421aa13862779602e7d,Si,NoDisponible,No,Si,No,,,,
