,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Sciurus variegatoides,230696,-92.166417,14.992793,,False,2,35.57,Mammalia,Rodentia,Sciuridae,502,Terrestre,1800,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=044d33309c4f652439dfc88138d047ff,044d33309c4f652439dfc88138d047ff,No,NoDisponible,,,,,,,
10,Sciurus variegatoides,230961,-92.2166667,17.3166667,,False,0,19.5,Mammalia,Rodentia,Sciuridae,409,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=058616f2f6d1a423f031309130460ffc,058616f2f6d1a423f031309130460ffc,No,NoDisponible,,,,,,,
13,Sciurus variegatoides,226494,-92.65,15.3166667,,False,2,33.37,Mammalia,Rodentia,Sciuridae,96,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=50b19b2d97c065630adb389d2ac7de5d,50b19b2d97c065630adb389d2ac7de5d,No,NoDisponible,,,,,,,
3,Sciurus variegatoides,226481,-92.7825,15.0938889,,False,1,28.23,Mammalia,Rodentia,Sciuridae,32,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=547071ecc02150b40168ddb4d666452f,547071ecc02150b40168ddb4d666452f,No,NoDisponible,,,,,,,
1,Sciurus variegatoides,226481,-92.7847222,15.0913889,,False,1,28.23,Mammalia,Rodentia,Sciuridae,13,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=677368d2c04c37ae757b08b8c7881d0f,677368d2c04c37ae757b08b8c7881d0f,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
7,Sciurus variegatoides,230690,-92.26056,14.90806,,False,3,38.78,Mammalia,Rodentia,Sciuridae,178,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=763218639ef5dab6e0ff0a1e81dc04dd,763218639ef5dab6e0ff0a1e81dc04dd,No,NoDisponible,,,,,,,
12,Sciurus variegatoides,230676,-92.4666667,15.15,,False,4,44.03,Mammalia,Rodentia,Sciuridae,54,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=78302c99ac62d773535f9ed7e461d24a,78302c99ac62d773535f9ed7e461d24a,No,NoDisponible,,,,,,,
4,Sciurus variegatoides,226481,-92.7847222,15.0913889,,False,1,28.23,Mammalia,Rodentia,Sciuridae,13,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a9c5960a9b800a7837673f1f7e1add06,a9c5960a9b800a7837673f1f7e1add06,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
2,Sciurus variegatoides,226481,-92.7847222,15.0913889,,False,1,28.23,Mammalia,Rodentia,Sciuridae,13,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bd9173eda751d529cdc273e5b7222145,bd9173eda751d529cdc273e5b7222145,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
14,Sciurus variegatoides,226494,-92.65,15.3166667,,False,2,33.37,Mammalia,Rodentia,Sciuridae,96,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bf60947ac32e86a00386412d41acd897,bf60947ac32e86a00386412d41acd897,No,NoDisponible,,,,,,,
11,Sciurus variegatoides,230676,-92.475,15.155,,False,4,44.03,Mammalia,Rodentia,Sciuridae,46,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c40f2d5fcc6e404fb8e35677b08d8918,c40f2d5fcc6e404fb8e35677b08d8918,No,NoDisponible,,,,,,,
6,Sciurus variegatoides,230696,-92.166417,14.992793,,False,2,35.57,Mammalia,Rodentia,Sciuridae,502,Terrestre,1800,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ce4cb322411c5dfee91276dd646c0cc3,ce4cb322411c5dfee91276dd646c0cc3,No,NoDisponible,,,,,,,
9,Sciurus variegatoides,230961,-92.2255556,17.3208333,,False,0,19.5,Mammalia,Rodentia,Sciuridae,309,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d795013f018b8b332ee8d5f992e7c35e,d795013f018b8b332ee8d5f992e7c35e,No,NoDisponible,,,,,,,
0,Sciurus variegatoides,226481,-92.7847222,15.0913889,,False,1,28.23,Mammalia,Rodentia,Sciuridae,13,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dfae3ce068928a5801a4571cb841ab24,dfae3ce068928a5801a4571cb841ab24,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
8,Sciurus variegatoides,230690,-92.26056,14.90806,,False,3,38.78,Mammalia,Rodentia,Sciuridae,178,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=febcb9bf89d75e45a9608053cc570fc8,febcb9bf89d75e45a9608053cc570fc8,No,NoDisponible,,,,,,,
