,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
32,Sciurus yucatanensis,261044,-88.1753358,19.0379008,,False,2,23.72,Mammalia,Rodentia,Sciuridae,15,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e0af6d7ef2fd365c80350a96fa73af,00e0af6d7ef2fd365c80350a96fa73af,No,NoDisponible,,,,,,,
8,Sciurus yucatanensis,256895,-88.578414,20.6689352,,False,1,19.77,Mammalia,Rodentia,Sciuridae,36,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b4c512a84bcf14dec355de168b02c3,01b4c512a84bcf14dec355de168b02c3,No,NoDisponible,,,,,,,
114,Sciurus yucatanensis,252549,-89.6216667,20.9677778,,False,1,15.28,Mammalia,Rodentia,Sciuridae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d0b129944f525b7447d5b93f10d647,02d0b129944f525b7447d5b93f10d647,No,NoDisponible,,,,,,,
105,Sciurus yucatanensis,261300,-88.1508333,21.1422222,,False,2,21.7,Mammalia,Rodentia,Sciuridae,24,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06d120d7d7926f66e6379e34d9dbefc9,06d120d7d7926f66e6379e34d9dbefc9,No,NoDisponible,,,,,,,
121,Sciurus yucatanensis,261288,-88.1744444,21.0188889,,False,1,20.02,Mammalia,Rodentia,Sciuridae,15,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08883b2c307cf79a27c0a930b6b31df2,08883b2c307cf79a27c0a930b6b31df2,No,NoDisponible,,,,,,,
135,Sciurus yucatanensis,252491,-89.4183333,20.3044444,,False,1,10.86,Mammalia,Rodentia,Sciuridae,34,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09aa715e4b3ef5f20ecee963a281e869,09aa715e4b3ef5f20ecee963a281e869,No,NoDisponible,,,,,,,
75,Sciurus yucatanensis,260957,-88.3311938,18.5006813,,False,2,25.21,Mammalia,Rodentia,Sciuridae,14,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09ffd16a61d46cf02b7d00d6b3a3734e,09ffd16a61d46cf02b7d00d6b3a3734e,No,NoDisponible,,,,,,,
76,Sciurus yucatanensis,252255,-89.466978,18.517669,,False,1,9.91,Mammalia,Rodentia,Sciuridae,284,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c3446bb14815b981aac11714fe68b6d,0c3446bb14815b981aac11714fe68b6d,No,NoDisponible,,,,,,,
86,Sciurus yucatanensis,248241,-89.9116667,20.5675,,False,1,11.94,Mammalia,Rodentia,Sciuridae,20,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c5bc2b74847443c3931c3a65bb50b15,0c5bc2b74847443c3931c3a65bb50b15,No,NoDisponible,,,,,,,
59,Sciurus yucatanensis,261001,-88.3923944,18.6782916,,False,2,27.45,Mammalia,Rodentia,Sciuridae,24,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f4501422c0dc20fa9bf93805584fbda,0f4501422c0dc20fa9bf93805584fbda,No,NoDisponible,,,,,,,
7,Sciurus yucatanensis,256896,-88.57222,20.77083,,False,1,19.77,Mammalia,Rodentia,Sciuridae,47,Terrestre,1945,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f4986ae9370789dc681510af4c7d925,0f4986ae9370789dc681510af4c7d925,No,NoDisponible,,,,,,,
14,Sciurus yucatanensis,269566,-86.95389,20.7639308,,False,2,23.95,Mammalia,Rodentia,Sciuridae,9,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=182867b64c76b96fd44768a97652c74f,182867b64c76b96fd44768a97652c74f,Si,NoDisponible,No,Si,Si,,,,
137,Sciurus yucatanensis,261114,-88.0452778,19.5794444,,False,2,27.85,Mammalia,Rodentia,Sciuridae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=184a307d78fd82a14ad9cd730a876ac4,184a307d78fd82a14ad9cd730a876ac4,No,NoDisponible,,,,,,,
144,Sciurus yucatanensis,261352,-88.1577778,21.5975,,True,0,-8.3,Mammalia,Rodentia,Sciuridae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18667689fce8b97fc5caff527a82d75d,18667689fce8b97fc5caff527a82d75d,No,NoDisponible,,,,,,,
9,Sciurus yucatanensis,256895,-88.57134,20.684,,False,1,19.77,Mammalia,Rodentia,Sciuridae,31,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f6d4fcec1ade86f66e2feba279e045b,1f6d4fcec1ade86f66e2feba279e045b,No,NoDisponible,,,,,,,
128,Sciurus yucatanensis,243874,-90.5316667,19.8422222,,False,1,9.89,Mammalia,Rodentia,Sciuridae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21cf609ac1164e0a6a8cb02043d6bfc1,21cf609ac1164e0a6a8cb02043d6bfc1,Si,NoDisponible,No,Si,Si,,,,
