,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
150,Sigmodon arizonae,127511,-105.1245023,21.7684094,,False,3,10.68,Mammalia,Rodentia,Cricetidae,26,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0000e3909e331bfaedf7365403c02d05,0000e3909e331bfaedf7365403c02d05,No,NoDisponible,,,,,,,
547,Sigmodon arizonae,113914,-106.4434299,23.2989999,,False,3,7.89,Mammalia,Rodentia,Cricetidae,35,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005195d2b4ad3477555c3c20ae5aed48,005195d2b4ad3477555c3c20ae5aed48,No,NoDisponible,,,,,,,
508,Sigmodon arizonae,127567,-104.9416667,22.0245,,False,3,12.5,Mammalia,Rodentia,Cricetidae,129,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0098bd2ad7162b856e683d76f98f5fb4,0098bd2ad7162b856e683d76f98f5fb4,No,NoDisponible,,,,,,,
404,Sigmodon arizonae,122904,-105.6769444,22.3583333,,False,3,6.72,Mammalia,Rodentia,Cricetidae,16,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d33abbaadefa938da2d3234e00b858,00d33abbaadefa938da2d3234e00b858,No,NoDisponible,,,,,,,
354,Sigmodon arizonae,96511,-108.7083333,26.9749999,,False,3,9.45,Mammalia,Rodentia,Cricetidae,725,Terrestre,1930,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=014662abe6a9a13c41a85d2f4548ac82,014662abe6a9a13c41a85d2f4548ac82,No,NoDisponible,,,,,,,
553,Sigmodon arizonae,113978,-106.4836119,23.7947691,,False,3,11.1,Mammalia,Rodentia,Cricetidae,332,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=036c277826be08a95883fb2a9a85cc6f,036c277826be08a95883fb2a9a85cc6f,No,NoDisponible,,,,,,,
274,Sigmodon arizonae,114073,-106.7357778,24.8011111,,False,3,7.41,Mammalia,Rodentia,Cricetidae,668,Terrestre,1899,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0403cb76bf4b64d8b426efae71f5d31e,0403cb76bf4b64d8b426efae71f5d31e,No,NoDisponible,,,,,,,
42,Sigmodon arizonae,122950,-105.7719423,22.65861,,False,3,10.21,Mammalia,Rodentia,Cricetidae,7,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0469b785dc1f3265d8381c6eaf7d3c94,0469b785dc1f3265d8381c6eaf7d3c94,No,NoDisponible,,,,,,,
299,Sigmodon arizonae,114111,-106.3723055,24.9202777,,False,2,-2.91,Mammalia,Rodentia,Cricetidae,1261,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0522af43488b51ee69a56c3098e12dc5,0522af43488b51ee69a56c3098e12dc5,No,NoDisponible,,,,,,,
405,Sigmodon arizonae,122904,-105.6769444,22.3583333,,False,3,6.72,Mammalia,Rodentia,Cricetidae,16,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05334d48166ce04b67530bcdf09db025,05334d48166ce04b67530bcdf09db025,No,NoDisponible,,,,,,,
284,Sigmodon arizonae,105187,-107.6870941,25.093392,,False,3,12.43,Mammalia,Rodentia,Cricetidae,38,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=054033ac95a4f4a671392904b1eaa9b4,054033ac95a4f4a671392904b1eaa9b4,No,NoDisponible,,,,,,,
86,Sigmodon arizonae,100882,-108.6197222,26.4169444,,False,3,9.46,Mammalia,Rodentia,Cricetidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0558198ae58e065c4324cc608c00bb20,0558198ae58e065c4324cc608c00bb20,No,NoDisponible,,,,,,,
151,Sigmodon arizonae,127511,-105.1245023,21.7684094,,False,3,10.68,Mammalia,Rodentia,Cricetidae,26,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=063b1f11fbafee091f8571c2723bb2d3,063b1f11fbafee091f8571c2723bb2d3,No,NoDisponible,,,,,,,
406,Sigmodon arizonae,122904,-105.6769444,22.3583333,,False,3,6.72,Mammalia,Rodentia,Cricetidae,16,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f115cc2dd1e6ad014b987b87406b41,06f115cc2dd1e6ad014b987b87406b41,No,NoDisponible,,,,,,,
152,Sigmodon arizonae,127511,-105.1245023,21.7684094,,False,3,10.68,Mammalia,Rodentia,Cricetidae,26,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07323211a37b265d7dd99e9a296beec9,07323211a37b265d7dd99e9a296beec9,No,NoDisponible,,,,,,,
290,Sigmodon arizonae,114111,-106.4165486,24.9255378,,False,2,-2.91,Mammalia,Rodentia,Cricetidae,675,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0769379da511b79dc5984bf7aed3e1a8,0769379da511b79dc5984bf7aed3e1a8,No,NoDisponible,,,,,,,
573,Sigmodon arizonae,123374,-105.3294444,25.7883333,,True,1,-10.18,Mammalia,Rodentia,Cricetidae,1608,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07ae431ea3254c4bf02f1354f43bdb16,07ae431ea3254c4bf02f1354f43bdb16,Si,NoDisponible,No,No,Si,,,,
129,Sigmodon arizonae,100857,-108.2074632,25.82472,,False,3,10.55,Mammalia,Rodentia,Cricetidae,58,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080443b935225c61f0235ec28c5e7b20,080443b935225c61f0235ec28c5e7b20,No,NoDisponible,,,,,,,
544,Sigmodon arizonae,113914,-106.4406666,23.299158,,False,3,7.89,Mammalia,Rodentia,Cricetidae,18,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09003b8df013aa1f552847b76012d75e,09003b8df013aa1f552847b76012d75e,No,NoDisponible,,,,,,,
375,Sigmodon arizonae,92259,-109.4083333,29.1583333,,False,2,1.48,Mammalia,Rodentia,Cricetidae,493,Terrestre,1930,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0960222bbe5e6a0d175a0398df09ca63,0960222bbe5e6a0d175a0398df09ca63,Si,NoDisponible,No,Si,Si,,,,
267,Sigmodon arizonae,114073,-106.7366667,24.81,,False,3,7.41,Mammalia,Rodentia,Cricetidae,626,Terrestre,1899,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a52093183dad3b83ae001e3e5c6812d,0a52093183dad3b83ae001e3e5c6812d,No,NoDisponible,,,,,,,
8,Sigmodon arizonae,100965,-108.3099357,26.730162,,False,3,8.86,Mammalia,Rodentia,Cricetidae,178,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a636f0970846cf4c8d318d735b6cfc2,0a636f0970846cf4c8d318d735b6cfc2,No,NoDisponible,,,,,,,
153,Sigmodon arizonae,127511,-105.1245023,21.7684094,,False,3,10.68,Mammalia,Rodentia,Cricetidae,26,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ac557fa0168c7969132235e36948708,0ac557fa0168c7969132235e36948708,No,NoDisponible,,,,,,,
