,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
910,Sigmodon hispidus,136520,-103.930306,18.872472,,False,3,3.81,Mammalia,Rodentia,Cricetidae,19,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00034d493b16811d03c6c8fbfa4e022c,00034d493b16811d03c6c8fbfa4e022c,Si,NoDisponible,No,Si,Si,,,,
370,Sigmodon hispidus,226519,-93.0102778,15.8008333,,False,3,8.23,Mammalia,Rodentia,Cricetidae,900,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=000996b25c58238a0203d87a400b610b,000996b25c58238a0203d87a400b610b,No,NoDisponible,,,,,,,
928,Sigmodon hispidus,231107,-92.4333333,18.6833333,,False,3,8.53,Mammalia,Rodentia,Cricetidae,,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=002364bf1ed3d4aee260f8f340a662c6,002364bf1ed3d4aee260f8f340a662c6,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
203,Sigmodon hispidus,226642,-93.0949444,16.8277222,,False,3,7.66,Mammalia,Rodentia,Cricetidae,1266,Terrestre,2004,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=009bc6ad501a31ecef182c13edbdebf6,009bc6ad501a31ecef182c13edbdebf6,No,NoDisponible,,,,,,,
1749,Sigmodon hispidus,161024,-100.6436111,23.9622222,,True,2,-2.24,Mammalia,Rodentia,Cricetidae,1868,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c27b9dd2eb8332bd7ca290ea1509e3,00c27b9dd2eb8332bd7ca290ea1509e3,No,NoDisponible,,,,,,,
862,Sigmodon hispidus,180383,-98.663522,22.801828,,False,3,3.09,Mammalia,Rodentia,Cricetidae,43,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00fa2045a2c52dcd16409233c0e1d80d,00fa2045a2c52dcd16409233c0e1d80d,No,NoDisponible,,,,,,,
585,Sigmodon hispidus,175337,-98.9903871,21.38611,,False,3,11.69,Mammalia,Rodentia,Cricetidae,673,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0100b4e2144518bd99a019b52d548f0c,0100b4e2144518bd99a019b52d548f0c,No,NoDisponible,,,,,,,
1392,Sigmodon hispidus,261092,-88.1324999,19.26,,False,3,7.52,Mammalia,Rodentia,Cricetidae,42,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011be28ed42a1d97bcffb2f466c31dc0,011be28ed42a1d97bcffb2f466c31dc0,No,NoDisponible,,,,,,,
554,Sigmodon hispidus,155831,-101.346541,20.678402,,False,3,0.23,Mammalia,Rodentia,Cricetidae,1717,Terrestre,1940,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0135798d8d6b90370d2745d9c92affd0,0135798d8d6b90370d2745d9c92affd0,No,NoDisponible,,,,,,,
1091,Sigmodon hispidus,252461,-89.217421,19.875555,,False,3,5.42,Mammalia,Rodentia,Cricetidae,140,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0159d88052f6e9d0cbc236720c90c841,0159d88052f6e9d0cbc236720c90c841,No,NoDisponible,,,,,,,
