,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1684,Sigmodon toltecus,243780,-90.7204586,19.3,,False,5,9.39,Mammalia,Rodentia,Cricetidae,17,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001815d9a3a933009e707fde23359ec8,001815d9a3a933009e707fde23359ec8,No,NoDisponible,NoDisponible,,,,,,
3020,Sigmodon toltecus,235048,-91.5722222,16.14,,False,7,31.04,Mammalia,Rodentia,Cricetidae,913,Terrestre,1904,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001e25ca6e3fe363846790104a4df969,001e25ca6e3fe363846790104a4df969,No,NoDisponible,NoDisponible,,,,,,
2465,Sigmodon toltecus,239214,-90.9308333,16.1227777,,False,6,25.89,Mammalia,Rodentia,Cricetidae,167,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0032b3585252cf26450bf34d8ab4774a,0032b3585252cf26450bf34d8ab4774a,No,NoDisponible,NoDisponible,,,,,,
2065,Sigmodon toltecus,180210,-98.5681,21.1714993,,False,6,16.11,Mammalia,Rodentia,Cricetidae,222,Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0048534cbe8391c9eacac9fe0c9a7c9d,0048534cbe8391c9eacac9fe0c9a7c9d,Si,NoDisponible,NoDisponible,No,No,,,,
2736,Sigmodon toltecus,247994,-89.8236944,18.4311388,,False,5,12.24,Mammalia,Rodentia,Cricetidae,216,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005898dcf25ecf99e28dd9263884148d,005898dcf25ecf99e28dd9263884148d,No,NoDisponible,NoDisponible,,,,,,
1218,Sigmodon toltecus,190184,-97.326179,21.5602778,,False,5,12.69,Mammalia,Rodentia,Cricetidae,,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0066fd10b3c33af69b59db1f779e2d99,0066fd10b3c33af69b59db1f779e2d99,Si,NoDisponible,NoDisponible,Si,No,No,BufferCosteroMarinoContinental,,
2666,Sigmodon toltecus,239259,-91.1333333,16.7666666,,False,6,20.17,Mammalia,Rodentia,Cricetidae,320,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0078d89f8a321cf8a325d5082afbea7e,0078d89f8a321cf8a325d5082afbea7e,No,NoDisponible,NoDisponible,,,,,,
3081,Sigmodon toltecus,230708,-92.1811111,15.1641667,,False,5,9.42,Mammalia,Rodentia,Cricetidae,1050,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=008f3ea706c88dd982736830b08cf858,008f3ea706c88dd982736830b08cf858,No,NoDisponible,NoDisponible,,,,,,
2328,Sigmodon toltecus,190030,-97.5236111,20.5041667,,False,6,24.31,Mammalia,Rodentia,Cricetidae,71,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00afccb07512807d658a202720d00f3e,00afccb07512807d658a202720d00f3e,No,NoDisponible,NoDisponible,,,,,,
1348,Sigmodon toltecus,185217,-98.3070368,21.9311111,,False,5,7.97,Mammalia,Rodentia,Cricetidae,42,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d0711021de9b215c46e7f0ba2a6495,00d0711021de9b215c46e7f0ba2a6495,No,NoDisponible,NoDisponible,,,,,,
1071,Sigmodon toltecus,175425,-99.4587772,22.4274329,,True,3,-16.14,Mammalia,Rodentia,Cricetidae,1384,Terrestre,1950,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e214588d0c5d7967829df1db3b569d,00e214588d0c5d7967829df1db3b569d,Si,NoDisponible,NoDisponible,No,No,,,,
