,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
55,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00425e792541dad9b65823e079f56b62,00425e792541dad9b65823e079f56b62,No,NoDisponible,NoDisponible,,,,,,
56,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e2b3cd1f22ec21dfcbfe4e8b5d8760,02e2b3cd1f22ec21dfcbfe4e8b5d8760,No,NoDisponible,NoDisponible,,,,,,
57,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03da70a5e524a630678ae8f835581494,03da70a5e524a630678ae8f835581494,No,NoDisponible,NoDisponible,,,,,,
58,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0418825b429b3f2609e20844a59ff129,0418825b429b3f2609e20844a59ff129,No,NoDisponible,NoDisponible,,,,,,
59,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07c7d977b6fb891e3fe592ebfcd586b0,07c7d977b6fb891e3fe592ebfcd586b0,No,NoDisponible,NoDisponible,,,,,,
60,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ab6d06088f2838b8bdb28d1dac8faa4,0ab6d06088f2838b8bdb28d1dac8faa4,No,NoDisponible,NoDisponible,,,,,,
7,Sorex mediopua,127359,-104.6899999,20.16,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2232,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b033cc95aaa41025f1369720a9209f5,0b033cc95aaa41025f1369720a9209f5,No,NoDisponible,NoDisponible,,,,,,
21,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f55354478d2f2b6a675e6ed5114693e,0f55354478d2f2b6a675e6ed5114693e,No,NoDisponible,NoDisponible,,,,,,
2,Sorex mediopua,127359,-104.6914934,20.1622879,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2257,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f57d17cc588670f1a6506413a01ec27,0f57d17cc588670f1a6506413a01ec27,No,NoDisponible,NoDisponible,,,,,,
70,Sorex mediopua,170181,-100.0299999,19.3299999,,False,1,29.71,Mammalia,Soricomorpha,Soricidae,2628,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1106a922033e43087663aab54dc3c3b4,1106a922033e43087663aab54dc3c3b4,Si,NoDisponible,NoDisponible,No,No,,,,
40,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=125ae995727306b5cc1d1f49223329bf,125ae995727306b5cc1d1f49223329bf,No,NoDisponible,NoDisponible,,,,,,
41,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15a21e33253dfdc320b1ee4db9f75bf9,15a21e33253dfdc320b1ee4db9f75bf9,No,NoDisponible,NoDisponible,,,,,,
3,Sorex mediopua,127359,-104.6914934,20.1622879,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2257,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1915db661c1264118b14cc76b8375472,1915db661c1264118b14cc76b8375472,No,NoDisponible,NoDisponible,,,,,,
33,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e54b2d6293dea60a853addc8eabef16,1e54b2d6293dea60a853addc8eabef16,No,NoDisponible,NoDisponible,,,,,,
4,Sorex mediopua,127359,-104.6914934,20.1622879,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2257,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=202676bb2725037ce1040d1a33c4d8e3,202676bb2725037ce1040d1a33c4d8e3,No,NoDisponible,NoDisponible,,,,,,
61,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=204eb2ae4efe62a0fc5df34cf6ce4a2e,204eb2ae4efe62a0fc5df34cf6ce4a2e,No,NoDisponible,NoDisponible,,,,,,
62,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=28d29269d4fdf445db6fe6cc035942ef,28d29269d4fdf445db6fe6cc035942ef,No,NoDisponible,NoDisponible,,,,,,
42,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29de94e3733775c80557e922a562db36,29de94e3733775c80557e922a562db36,No,NoDisponible,NoDisponible,,,,,,
43,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=315fa03d10fbecdc204f8a7367a18e63,315fa03d10fbecdc204f8a7367a18e63,No,NoDisponible,NoDisponible,,,,,,
22,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34dea3fb5125ad835eae9091f1714daf,34dea3fb5125ad835eae9091f1714daf,No,NoDisponible,NoDisponible,,,,,,
14,Sorex mediopua,165359,-100.0390136,19.3386111,,False,1,31.61,Mammalia,Soricomorpha,Soricidae,2592,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=376a178d8b7bf247877aa2747ea3110a,376a178d8b7bf247877aa2747ea3110a,Si,NoDisponible,NoDisponible,No,No,,,,
23,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a269c57b4525ca9a1d823fe91bcca79,3a269c57b4525ca9a1d823fe91bcca79,No,NoDisponible,NoDisponible,,,,,,
8,Sorex mediopua,127359,-104.6899999,20.16,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2232,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4287aa7784e91848941c67b5cfa962db,4287aa7784e91848941c67b5cfa962db,No,NoDisponible,NoDisponible,,,,,,
15,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=439d34e0bbb5388c0702d274b96aaad4,439d34e0bbb5388c0702d274b96aaad4,No,NoDisponible,NoDisponible,,,,,,
34,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5505eb51fb0241093e0bc0c06121a317,5505eb51fb0241093e0bc0c06121a317,No,NoDisponible,NoDisponible,,,,,,
44,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ab4656bc9b660432ec63e9f6c427891,5ab4656bc9b660432ec63e9f6c427891,No,NoDisponible,NoDisponible,,,,,,
27,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e60d98a4dc85ac74116f1ed5a821c53,5e60d98a4dc85ac74116f1ed5a821c53,No,NoDisponible,NoDisponible,,,,,,
16,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=62ab20d773e5b11e9726b2f50dda721f,62ab20d773e5b11e9726b2f50dda721f,No,NoDisponible,NoDisponible,,,,,,
35,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=683791ff2be455c32b5af4f439337da0,683791ff2be455c32b5af4f439337da0,No,NoDisponible,NoDisponible,,,,,,
28,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6b31c433e51ef187f498937fbe871e58,6b31c433e51ef187f498937fbe871e58,No,NoDisponible,NoDisponible,,,,,,
9,Sorex mediopua,127359,-104.6899999,20.16,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2232,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6dd3aaf0a4bc9fc9949fc9cd605de34c,6dd3aaf0a4bc9fc9949fc9cd605de34c,No,NoDisponible,NoDisponible,,,,,,
29,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6fa2aaf8c458b3e7270e07aae3713e40,6fa2aaf8c458b3e7270e07aae3713e40,No,NoDisponible,NoDisponible,,,,,,
63,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7dbd1d48a8bc6d91bcb2c2c50e49a915,7dbd1d48a8bc6d91bcb2c2c50e49a915,No,NoDisponible,NoDisponible,,,,,,
64,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7e8bc60105469962a99310f2d74062cc,7e8bc60105469962a99310f2d74062cc,No,NoDisponible,NoDisponible,,,,,,
12,Sorex mediopua,160498,-100.8616148,19.57986,,False,0,13.42,Mammalia,Soricomorpha,Soricidae,1405,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7eaeb2d973bc078936e9929a3e9b8fc0,7eaeb2d973bc078936e9929a3e9b8fc0,Si,NoDisponible,NoDisponible,No,No,,,,
65,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8136a7a7f4b2658d0b5bdd65b1118a18,8136a7a7f4b2658d0b5bdd65b1118a18,No,NoDisponible,NoDisponible,,,,,,
66,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=845685ca7351ca64bce3cb9c5683e584,845685ca7351ca64bce3cb9c5683e584,No,NoDisponible,NoDisponible,,,,,,
45,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=872cc86c5f674623bd3360636f4ae107,872cc86c5f674623bd3360636f4ae107,No,NoDisponible,NoDisponible,,,,,,
46,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=95629260dbebee1c04559b67fc6123ae,95629260dbebee1c04559b67fc6123ae,No,NoDisponible,NoDisponible,,,,,,
24,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=962988a6c934ba66fa7aa23994ffb544,962988a6c934ba66fa7aa23994ffb544,No,NoDisponible,NoDisponible,,,,,,
5,Sorex mediopua,127359,-104.6914934,20.1622879,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2257,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=968c23fb38651f9308cefd1daaf1fa5a,968c23fb38651f9308cefd1daaf1fa5a,No,NoDisponible,NoDisponible,,,,,,
25,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=97e475dc3a80dc6a159b7e9a6421bc43,97e475dc3a80dc6a159b7e9a6421bc43,No,NoDisponible,NoDisponible,,,,,,
10,Sorex mediopua,127359,-104.6899999,20.16,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2232,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a367488b2f3baa0679979e191e56282a,a367488b2f3baa0679979e191e56282a,No,NoDisponible,NoDisponible,,,,,,
30,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a65b2825687cd5718057d49a74df6620,a65b2825687cd5718057d49a74df6620,No,NoDisponible,NoDisponible,,,,,,
47,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a71bfbc9fd0e6d56abfbd7f3546f62b8,a71bfbc9fd0e6d56abfbd7f3546f62b8,No,NoDisponible,NoDisponible,,,,,,
31,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=a809f05e265b7b8e0fc061e89e72c00b,a809f05e265b7b8e0fc061e89e72c00b,No,NoDisponible,NoDisponible,,,,,,
36,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ac9c9d9a17921913e4c4d231caac3fea,ac9c9d9a17921913e4c4d231caac3fea,No,NoDisponible,NoDisponible,,,,,,
32,Sorex mediopua,136634,-103.6,19.56,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3720,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b308779c51b4a5c5b858860d20ca484d,b308779c51b4a5c5b858860d20ca484d,No,NoDisponible,NoDisponible,,,,,,
48,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b335454e2ffe74f67fcdc9cc68c4aed7,b335454e2ffe74f67fcdc9cc68c4aed7,No,NoDisponible,NoDisponible,,,,,,
37,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b7229d8440513ac28639c92eed52c464,b7229d8440513ac28639c92eed52c464,No,NoDisponible,NoDisponible,,,,,,
38,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=b9282e218364ec9c300717736f7e53bd,b9282e218364ec9c300717736f7e53bd,No,NoDisponible,NoDisponible,,,,,,
13,Sorex mediopua,160498,-100.86,19.5699999,,False,0,13.42,Mammalia,Soricomorpha,Soricidae,1554,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bb16081ce0ee221ae6c8eaadc74493c9,bb16081ce0ee221ae6c8eaadc74493c9,Si,NoDisponible,NoDisponible,No,No,,,,
17,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=bca8fd7783b3f58c25b20d51c9e101eb,bca8fd7783b3f58c25b20d51c9e101eb,No,NoDisponible,NoDisponible,,,,,,
49,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c02ca27bc793166b89ca83599c82a2a3,c02ca27bc793166b89ca83599c82a2a3,No,NoDisponible,NoDisponible,,,,,,
50,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c9117203dc1c4881895aee4a2e561361,c9117203dc1c4881895aee4a2e561361,No,NoDisponible,NoDisponible,,,,,,
39,Sorex mediopua,136634,-103.5799999,19.5699999,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3043,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=c929fd585d8cd0cd788c189c994426df,c929fd585d8cd0cd788c189c994426df,No,NoDisponible,NoDisponible,,,,,,
18,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=caa928183df2c329abd500f9e1c9ff4e,caa928183df2c329abd500f9e1c9ff4e,No,NoDisponible,NoDisponible,,,,,,
19,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=cd094b0f55867aca8a94b794c0631009,cd094b0f55867aca8a94b794c0631009,No,NoDisponible,NoDisponible,,,,,,
51,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d01408cb9e5dcf17d44046b250f18cfa,d01408cb9e5dcf17d44046b250f18cfa,No,NoDisponible,NoDisponible,,,,,,
52,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d0b2662efb975773737befafbf3f6ec0,d0b2662efb975773737befafbf3f6ec0,No,NoDisponible,NoDisponible,,,,,,
67,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d12779b78784099795a8561612b06e2e,d12779b78784099795a8561612b06e2e,No,NoDisponible,NoDisponible,,,,,,
6,Sorex mediopua,127359,-104.6914934,20.1622879,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2257,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=d9848657e0ddf1efc4c4ce7c30fe4d83,d9848657e0ddf1efc4c4ce7c30fe4d83,No,NoDisponible,NoDisponible,,,,,,
53,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=dc08dfe0ba5147151908a9b7b0fc31af,dc08dfe0ba5147151908a9b7b0fc31af,No,NoDisponible,NoDisponible,,,,,,
54,Sorex mediopua,131962,-104.1638728,19.5650411,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2728,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e16b9db4b490a623bfa91894c91ea4d1,e16b9db4b490a623bfa91894c91ea4d1,No,NoDisponible,NoDisponible,,,,,,
0,Sorex mediopua,127411,-104.7866303,20.5762102,,False,2,34.08,Mammalia,Soricomorpha,Soricidae,1670,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=e185e82623960c923a7666300dff671b,e185e82623960c923a7666300dff671b,No,NoDisponible,NoDisponible,,,,,,
1,Sorex mediopua,127411,-104.7799999,20.5699999,,False,2,34.08,Mammalia,Soricomorpha,Soricidae,1472,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ea8d4f72c488aa9390d98e060a69b904,ea8d4f72c488aa9390d98e060a69b904,No,NoDisponible,NoDisponible,,,,,,
26,Sorex mediopua,136634,-103.6068759,19.561667,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,4118,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=eaeb26fa8426dd82a6c300feaa944906,eaeb26fa8426dd82a6c300feaa944906,No,NoDisponible,NoDisponible,,,,,,
68,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=ef40f7758338467594611919f888b947,ef40f7758338467594611919f888b947,No,NoDisponible,NoDisponible,,,,,,
11,Sorex mediopua,127359,-104.6899999,20.16,,False,4,49.8,Mammalia,Soricomorpha,Soricidae,2232,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=f9c36845be46486c130059798a1d45a7,f9c36845be46486c130059798a1d45a7,No,NoDisponible,NoDisponible,,,,,,
69,Sorex mediopua,131962,-104.16,19.56,,False,3,45.84,Mammalia,Soricomorpha,Soricidae,2702,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fc50f29cc1114fe252810ea827563883,fc50f29cc1114fe252810ea827563883,No,NoDisponible,NoDisponible,,,,,,
20,Sorex mediopua,136634,-103.5861815,19.5793067,,False,5,61.95,Mammalia,Soricomorpha,Soricidae,3244,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=fd0e6b9f3336a97cee17f9a514d2ae07,fd0e6b9f3336a97cee17f9a514d2ae07,No,NoDisponible,NoDisponible,,,,,,
