,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
44,Sorex milleri,166016,-100.0847222,25.0344444,,True,0,-15.06,Mammalia,Soricomorpha,Soricidae,953,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=035431fea140475848d664a0556526a6,035431fea140475848d664a0556526a6,No,NoDisponible,,,,,,,
45,Sorex milleri,166022,-100.5791667,25.2722222,,False,4,45.64,Mammalia,Soricomorpha,Soricidae,2193,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065520486985ae7c0a986e356d6cb73f,065520486985ae7c0a986e356d6cb73f,No,NoDisponible,,,,,,,
6,Sorex milleri,166004,-100.214626,24.868909,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,2952,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e57b4f34bc2b2fd1db09cd48267b2d2,0e57b4f34bc2b2fd1db09cd48267b2d2,No,NoDisponible,,,,,,,
42,Sorex milleri,175703,-99.3847222,24.9380556,,False,1,2.06,Mammalia,Soricomorpha,Soricidae,258,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e8a4fec5d5c227a06594c6973762968,0e8a4fec5d5c227a06594c6973762968,Si,NoDisponible,No,No,Si,,,,
13,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=143560cde920ba6a10f8a0b3e92923d8,143560cde920ba6a10f8a0b3e92923d8,No,NoDisponible,,,,,,,
14,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16422bc6a07169d7eed7f67b398097ac,16422bc6a07169d7eed7f67b398097ac,No,NoDisponible,,,,,,,
38,Sorex milleri,166002,-100.2661111,24.8661111,,False,5,70.91,Mammalia,Soricomorpha,Soricidae,2700,Terrestre,1938,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=16e38ee15749f3b071f499774bc55464,16e38ee15749f3b071f499774bc55464,No,NoDisponible,,,,,,,
1,Sorex milleri,166004,-100.231667,24.868333,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,3692,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=190888cef36650ce54f536449a8bdc92,190888cef36650ce54f536449a8bdc92,No,NoDisponible,,,,,,,
2,Sorex milleri,166004,-100.231667,24.868333,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,3692,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1a6d37faf74c67e6f50fa66921f3ae7b,1a6d37faf74c67e6f50fa66921f3ae7b,No,NoDisponible,,,,,,,
15,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e9492ca676fd2b035fb6511dbf101c6,1e9492ca676fd2b035fb6511dbf101c6,No,NoDisponible,,,,,,,
12,Sorex milleri,166004,-100.2205556,24.875,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,3255,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=23b58ab03369d73c4d0ede6d9298641a,23b58ab03369d73c4d0ede6d9298641a,No,NoDisponible,,,,,,,
3,Sorex milleri,166004,-100.231667,24.868333,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,3692,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=294207d4a4d401866886a8388e03378e,294207d4a4d401866886a8388e03378e,No,NoDisponible,,,,,,,
16,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ddfa7afef9ebb69ec4d2fc20e81acf6,2ddfa7afef9ebb69ec4d2fc20e81acf6,No,NoDisponible,,,,,,,
5,Sorex milleri,166004,-100.214626,24.868909,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,2952,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=33fdf82137ae6476bb4e7be432d2a3e3,33fdf82137ae6476bb4e7be432d2a3e3,No,NoDisponible,,,,,,,
37,Sorex milleri,166115,-100.2375,25.5794444,,False,3,32.43,Mammalia,Soricomorpha,Soricidae,631,Terrestre,1977,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3dbac32aa223fc7044bce8c32ee3103b,3dbac32aa223fc7044bce8c32ee3103b,No,NoDisponible,,,,,,,
17,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e48a0be72b5d0750abf4c9618e784ba,3e48a0be72b5d0750abf4c9618e784ba,No,NoDisponible,,,,,,,
9,Sorex milleri,166004,-100.214626,24.868909,,False,5,73.53,Mammalia,Soricomorpha,Soricidae,2952,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f920589e7a87bb219f416e62785a8be,3f920589e7a87bb219f416e62785a8be,No,NoDisponible,,,,,,,
18,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4061df2756525325aa4c80792a0a5d45,4061df2756525325aa4c80792a0a5d45,No,NoDisponible,,,,,,,
19,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=413e1a59388ee1ec52101d2bf5f415d3,413e1a59388ee1ec52101d2bf5f415d3,No,NoDisponible,,,,,,,
20,Sorex milleri,166032,-100.3716257,25.27222,,False,5,70.89,Mammalia,Soricomorpha,Soricidae,2425,Terrestre,1955,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=448aa86b0584ead4f81ce024c3064dee,448aa86b0584ead4f81ce024c3064dee,No,NoDisponible,,,,,,,
