,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
12,Sorex monticolus,141242,-102.9830556,18.4422222,,True,0,-269.95,Mammalia,Soricomorpha,Soricidae,1531,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0da830e1b7a917a17eb1a3b3ae08d21d,0da830e1b7a917a17eb1a3b3ae08d21d,Si,NoDisponible,No,No,No,,,,
0,Sorex monticolus,123110,-105.434036,23.721671,,False,2,2.41,Mammalia,Soricomorpha,Soricidae,2815,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ecd9efd427933829512fc0f6cec844c,2ecd9efd427933829512fc0f6cec844c,No,NoDisponible,,,,,,,
17,Sorex monticolus,185017,-97.8277778,20.0319444,,True,0,-265.46,Mammalia,Soricomorpha,Soricidae,1420,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3ff5759892ab5bcb48539b9a52dc1246,3ff5759892ab5bcb48539b9a52dc1246,Si,NoDisponible,No,No,No,,,,
11,Sorex monticolus,189946,-97.2427778,19.56,,True,1,-65.4,Mammalia,Soricomorpha,Soricidae,2430,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45304d22519414400c4aafaad69a651a,45304d22519414400c4aafaad69a651a,Si,NoDisponible,No,No,No,,,,
1,Sorex monticolus,189874,-97.4352778,18.9841667,,False,2,-20.09,Mammalia,Soricomorpha,Soricidae,2653,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a588ce7608a8fda608b3ae4bd8f8282,4a588ce7608a8fda608b3ae4bd8f8282,Si,NoDisponible,No,No,No,,,,
15,Sorex monticolus,109803,-106.9630556,26.0913889,,False,2,-1.7,Mammalia,Soricomorpha,Soricidae,2312,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b83c74fb46d33f0360f4aeae5be0c5f,5b83c74fb46d33f0360f4aeae5be0c5f,No,NoDisponible,,,,,,,
2,Sorex monticolus,189874,-97.4352778,18.9841667,,False,2,-20.09,Mammalia,Soricomorpha,Soricidae,2653,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5bec32945024ac2ddc583f8d3dd6d00f,5bec32945024ac2ddc583f8d3dd6d00f,Si,NoDisponible,No,No,No,,,,
3,Sorex monticolus,189874,-97.4352778,18.9841667,,False,2,-20.09,Mammalia,Soricomorpha,Soricidae,2653,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fca7884137af610c928adf57204ad0b,5fca7884137af610c928adf57204ad0b,Si,NoDisponible,No,No,No,,,,
4,Sorex monticolus,189874,-97.4352778,18.9841667,,False,2,-20.09,Mammalia,Soricomorpha,Soricidae,2653,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=8eae993113c56d62d6bc196fe6314bb5,8eae993113c56d62d6bc196fe6314bb5,Si,NoDisponible,No,No,No,,,,
7,Sorex monticolus,150914,-102.28889,19.8025,,True,1,-111.37,Mammalia,Soricomorpha,Soricidae,2156,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=94d97cec2437382237cb8b682826da64,94d97cec2437382237cb8b682826da64,Si,NoDisponible,No,No,No,,,,
