,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
29,Sorex veraepacis,189689,-97.2455556,17.3055556,,False,1,11.43,Mammalia,Soricomorpha,Soricidae,2008,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bffa2ebc22731e377758f3f0e7ce209,0bffa2ebc22731e377758f3f0e7ce209,No,NoDisponible,,,,,,,
1,Sorex veraepacis,199501,-96.3827778,17.1738889,,False,2,26.83,Mammalia,Soricomorpha,Soricidae,3113,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1412b770a174a8758b66ba3347c2c8ac,1412b770a174a8758b66ba3347c2c8ac,No,NoDisponible,,,,,,,
2,Sorex veraepacis,170017,-99.687438,17.556617,,False,2,34.69,Mammalia,Soricomorpha,Soricidae,2149,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17e8ea7a3059a60ffbc4b0c59558f321,17e8ea7a3059a60ffbc4b0c59558f321,No,NoDisponible,,,,,,,
3,Sorex veraepacis,170017,-99.687438,17.556617,,False,2,34.69,Mammalia,Soricomorpha,Soricidae,2149,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d5b796bcb2b7de65431e2c3dbfe4eaf,1d5b796bcb2b7de65431e2c3dbfe4eaf,No,NoDisponible,,,,,,,
20,Sorex veraepacis,194822,-97.1036,18.8497,,False,2,42.84,Mammalia,Soricomorpha,Soricidae,1255,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f34be30a85fe7dcd50d3aeabe5aadc2,1f34be30a85fe7dcd50d3aeabe5aadc2,No,NoDisponible,,,,,,,
34,Sorex veraepacis,230709,-92.2308333,15.2388889,,False,2,34.96,Mammalia,Soricomorpha,Soricidae,2721,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3a9c799e1338abea57861381335fe60a,3a9c799e1338abea57861381335fe60a,No,NoDisponible,,,,,,,
23,Sorex veraepacis,194669,-96.68946,17.16105,,False,2,33.84,Mammalia,Soricomorpha,Soricidae,3112,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40c25615f383b77afc99eee587b5a7c8,40c25615f383b77afc99eee587b5a7c8,No,NoDisponible,,,,,,,
12,Sorex veraepacis,199367,-96.4731,16.0781,,False,2,37.61,Mammalia,Soricomorpha,Soricidae,2219,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4335f87a9e2395bcabd2e6e2c350b015,4335f87a9e2395bcabd2e6e2c350b015,No,NoDisponible,,,,,,,
36,Sorex veraepacis,165154,-100.3191667,17.6366667,,False,2,43.83,Mammalia,Soricomorpha,Soricidae,2944,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=452038064e85d67290bfa2e422f6190d,452038064e85d67290bfa2e422f6190d,No,NoDisponible,,,,,,,
0,Sorex veraepacis,165119,-100.0891667,17.4480556,,False,2,47.96,Mammalia,Soricomorpha,Soricidae,2452,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=52b286c90cf19f7c7d4b0ce70007bfd4,52b286c90cf19f7c7d4b0ce70007bfd4,No,NoDisponible,,,,,,,
39,Sorex veraepacis,204229,-96,17.1666667,,False,3,72.21,Mammalia,Soricomorpha,Soricidae,3203,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5a7e1e3f60275278d6873c55093016ca,5a7e1e3f60275278d6873c55093016ca,No,NoDisponible,,,,,,,
38,Sorex veraepacis,194815,-96.6458333,18.5666667,,False,1,11.75,Mammalia,Soricomorpha,Soricidae,166,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5ae12dfa6016c2431e25f1ee5847e674,5ae12dfa6016c2431e25f1ee5847e674,Si,NoDisponible,No,No,Si,,,,
4,Sorex veraepacis,170017,-99.687438,17.556617,,False,2,34.69,Mammalia,Soricomorpha,Soricidae,2149,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5c43b0dd2bd25b960f37a67c1e5ae294,5c43b0dd2bd25b960f37a67c1e5ae294,No,NoDisponible,,,,,,,
13,Sorex veraepacis,199367,-96.4731,16.0781,,False,2,37.61,Mammalia,Soricomorpha,Soricidae,2219,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5e03259de34f153c51c72e744987f007,5e03259de34f153c51c72e744987f007,No,NoDisponible,,,,,,,
21,Sorex veraepacis,194822,-97.1036,18.8497,,False,2,42.84,Mammalia,Soricomorpha,Soricidae,1255,Terrestre,1894,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=652faecf9784645a99b5d73298331a22,652faecf9784645a99b5d73298331a22,No,NoDisponible,,,,,,,
5,Sorex veraepacis,170017,-99.687438,17.556617,,False,2,34.69,Mammalia,Soricomorpha,Soricidae,2149,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67fae579868830d0238d99ec3e7e6cea,67fae579868830d0238d99ec3e7e6cea,No,NoDisponible,,,,,,,
17,Sorex veraepacis,194900,-97.01835,19.5593,,False,2,37,Mammalia,Soricomorpha,Soricidae,2027,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6d8ae2b9f13ec6863b638d5581899318,6d8ae2b9f13ec6863b638d5581899318,No,NoDisponible,,,,,,,
6,Sorex veraepacis,170017,-99.687438,17.556617,,False,2,34.69,Mammalia,Soricomorpha,Soricidae,2149,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=73f8fdd9c3c1dba45c13082ad8aa8572,73f8fdd9c3c1dba45c13082ad8aa8572,No,NoDisponible,,,,,,,
