,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
1324,Sturnira parvidens,174992,-99.1755556,18.8816667,,False,3,12.05,Mammalia,Chiroptera,Phyllostomidae,1355,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0005c472c17736e68acb3e7535e2552c,0005c472c17736e68acb3e7535e2552c,No,NoDisponible,,,,,,,
3858,Sturnira parvidens,109638,-107.4452777,25.2527777,,False,3,2.24,Mammalia,Chiroptera,Phyllostomidae,250,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=001ef5784d45cd98af63f8062c68ea1b,001ef5784d45cd98af63f8062c68ea1b,No,NoDisponible,,,,,,,
3724,Sturnira parvidens,230836,-92.1347222,16.2527778,,False,3,10.44,Mammalia,Chiroptera,Phyllostomidae,1649,Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0021ef4b0604e450457131edc548fb92,0021ef4b0604e450457131edc548fb92,No,NoDisponible,,,,,,,
2396,Sturnira parvidens,190090,-97.5350707,20.8975,,False,3,15.33,Mammalia,Chiroptera,Phyllostomidae,9,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0049af8fc965628be88289d28daf4a7d,0049af8fc965628be88289d28daf4a7d,No,NoDisponible,,,,,,,
1657,Sturnira parvidens,175282,-99.1269444,21.1558333,,False,3,19.51,Mammalia,Chiroptera,Phyllostomidae,854,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0057d2700b73712429c1c0231e7f7ca0,0057d2700b73712429c1c0231e7f7ca0,No,NoDisponible,,,,,,,
1242,Sturnira parvidens,226511,-92.8919444,15.5316667,,False,3,22,Mammalia,Chiroptera,Phyllostomidae,276,Terrestre,1971,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005e387df92a85612c37eea584434b88,005e387df92a85612c37eea584434b88,No,NoDisponible,,,,,,,
877,Sturnira parvidens,230955,-92.0002778,17.0008333,,False,3,21.17,Mammalia,Chiroptera,Phyllostomidae,1253,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=005ea5f2fb5c61180f0af9a3c7988553,005ea5f2fb5c61180f0af9a3c7988553,No,NoDisponible,,,,,,,
2598,Sturnira parvidens,141506,-103.4340603,20.92813,,False,3,5.29,Mammalia,Chiroptera,Phyllostomidae,1470,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00750dda5a946c05b9daa946f09368ee,00750dda5a946c05b9daa946f09368ee,No,NoDisponible,,,,,,,
4859,Sturnira parvidens,222400,-93.1919444,15.8802778,,False,3,29.16,Mammalia,Chiroptera,Phyllostomidae,1230,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=007b4d17ff1af0de47c9f30fc92fceb9,007b4d17ff1af0de47c9f30fc92fceb9,No,NoDisponible,,,,,,,
433,Sturnira parvidens,165301,-100.2655556,19.0727778,,False,3,18.14,Mammalia,Chiroptera,Phyllostomidae,1392,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0084ed6b85a1e4652042469ae216c52a,0084ed6b85a1e4652042469ae216c52a,No,NoDisponible,,,,,,,
3740,Sturnira parvidens,194615,-96.7666667,16.9202778,,False,3,9,Mammalia,Chiroptera,Phyllostomidae,1506,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0085868d47dff41c507016846119478b,0085868d47dff41c507016846119478b,No,NoDisponible,,,,,,,
2901,Sturnira parvidens,136526,-103.9083333,18.8805555,,False,3,10.96,Mammalia,Chiroptera,Phyllostomidae,20,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00b0377b348b5f2678775bb6b9ef9fea,00b0377b348b5f2678775bb6b9ef9fea,No,NoDisponible,,,,,,,
2155,Sturnira parvidens,127254,-105.1843559,19.676785,,False,3,14.78,Mammalia,Chiroptera,Phyllostomidae,12,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00c7a9be4523ca5bf54e44ea0a55b467,00c7a9be4523ca5bf54e44ea0a55b467,No,NoDisponible,,,,,,,
3466,Sturnira parvidens,189977,-97.5291667,20.0291667,,False,3,17.13,Mammalia,Chiroptera,Phyllostomidae,915,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00cbbc1c1c8b97b95913c125a4447cf4,00cbbc1c1c8b97b95913c125a4447cf4,No,NoDisponible,,,,,,,
1695,Sturnira parvidens,199610,-96.12611,17.88972,,False,3,17.42,Mammalia,Chiroptera,Phyllostomidae,114,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d221713de30f6ebbac16f052f62d4f,00d221713de30f6ebbac16f052f62d4f,No,NoDisponible,,,,,,,
4040,Sturnira parvidens,175189,-99.4216666,20.7008333,,True,2,-12.74,Mammalia,Chiroptera,Phyllostomidae,1970,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00d8c039c61acf54a9781d99b9912679,00d8c039c61acf54a9781d99b9912679,No,NoDisponible,,,,,,,
2065,Sturnira parvidens,127503,-104.985,21.52,,False,3,14.98,Mammalia,Chiroptera,Phyllostomidae,1077,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e704386d8607729b7f8f3c7f256ecc,00e704386d8607729b7f8f3c7f256ecc,No,NoDisponible,,,,,,,
4836,Sturnira parvidens,230687,-92.3147222,15.2508333,,False,3,21.98,Mammalia,Chiroptera,Phyllostomidae,2062,Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ecab4d38f5f0062ac7732176cd1e9e,00ecab4d38f5f0062ac7732176cd1e9e,No,NoDisponible,,,,,,,
4741,Sturnira parvidens,226596,-92.7438889,16.0194444,,False,3,20.48,Mammalia,Chiroptera,Phyllostomidae,1082,Terrestre,1991,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f54ffe703506f5bf0fed4632f2d4a0,00f54ffe703506f5bf0fed4632f2d4a0,No,NoDisponible,,,,,,,
3711,Sturnira parvidens,179854,-98.7291667,18.3341667,,False,3,5.38,Mammalia,Chiroptera,Phyllostomidae,1080,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f70a0fe87d9c416e577d88d7a240d3,00f70a0fe87d9c416e577d88d7a240d3,No,NoDisponible,,,,,,,
4443,Sturnira parvidens,252256,-89.4178916,18.5924194,,False,3,9.88,Mammalia,Chiroptera,Phyllostomidae,267,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=011944a1975faf6ca9dc3f69bc7342fd,011944a1975faf6ca9dc3f69bc7342fd,No,NoDisponible,,,,,,,
374,Sturnira parvidens,165346,-100.2633333,19.2677778,,False,3,10.14,Mammalia,Chiroptera,Phyllostomidae,1698,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=012326b6130ac99790a2ac0b1d7dc9c7,012326b6130ac99790a2ac0b1d7dc9c7,No,NoDisponible,,,,,,,
3562,Sturnira parvidens,184842,-98.1625,18.7183333,,False,3,9.27,Mammalia,Chiroptera,Phyllostomidae,1323,Terrestre,1988,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0124a8cdb141ec94d8837b7e55e79144,0124a8cdb141ec94d8837b7e55e79144,No,NoDisponible,,,,,,,
2476,Sturnira parvidens,194523,-96.9014297,16.2222222,,False,3,17.96,Mammalia,Chiroptera,Phyllostomidae,2060,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013f736d0bb2120775b527c8e0670ad3,013f736d0bb2120775b527c8e0670ad3,No,NoDisponible,,,,,,,
2599,Sturnira parvidens,141506,-103.4340603,20.92813,,False,3,5.29,Mammalia,Chiroptera,Phyllostomidae,1470,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015d5e14d83c9b2c3bf9b7f9f88f0f74,015d5e14d83c9b2c3bf9b7f9f88f0f74,No,NoDisponible,,,,,,,
1910,Sturnira parvidens,170432,-99.5,21.2798333,,False,3,6.43,Mammalia,Chiroptera,Phyllostomidae,765,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0171f1cb4e12a16e98f66fb3737eeac3,0171f1cb4e12a16e98f66fb3737eeac3,No,NoDisponible,,,,,,,
1581,Sturnira parvidens,185086,-97.8713889,20.7544444,,False,3,22.36,Mammalia,Chiroptera,Phyllostomidae,329,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01774cd55535c8ba5d44cd1a429ea889,01774cd55535c8ba5d44cd1a429ea889,No,NoDisponible,,,,,,,
3122,Sturnira parvidens,175539,-99.101006,23.2595406,,False,3,6.97,Mammalia,Chiroptera,Phyllostomidae,475,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0177c177bcac2f094ace3682762b1fc3,0177c177bcac2f094ace3682762b1fc3,No,NoDisponible,,,,,,,
4543,Sturnira parvidens,239227,-90.9082805,16.1953194,,False,3,17.57,Mammalia,Chiroptera,Phyllostomidae,151,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=018688e5a6d46d334a24f7387c7d3631,018688e5a6d46d334a24f7387c7d3631,No,NoDisponible,,,,,,,
502,Sturnira parvidens,194702,-96.9594444,17.8083333,,False,3,3.85,Mammalia,Chiroptera,Phyllostomidae,649,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=019d1ede9971bdeef2dba939f24bddd8,019d1ede9971bdeef2dba939f24bddd8,No,NoDisponible,,,,,,,
2562,Sturnira parvidens,136757,-103.7170659,20.67663,,False,3,2.49,Mammalia,Chiroptera,Phyllostomidae,1311,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a1e832a75ab51b95a84d7eac83a832,01a1e832a75ab51b95a84d7eac83a832,No,NoDisponible,,,,,,,
1437,Sturnira parvidens,184770,-98.25,18.1830556,,False,3,10.46,Mammalia,Chiroptera,Phyllostomidae,1218,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a756ab0f73273f8c2a67d4b3cef01d,01a756ab0f73273f8c2a67d4b3cef01d,No,NoDisponible,,,,,,,
4734,Sturnira parvidens,222381,-93.2538889,15.5430556,,False,3,14.96,Mammalia,Chiroptera,Phyllostomidae,18,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ae6f80f201b9ed7dee1894284b6d43,01ae6f80f201b9ed7dee1894284b6d43,Si,NoDisponible,No,Si,No,No,BufferCosteroMarinoContinental,,
2873,Sturnira parvidens,136542,-103.8988888,19.1347222,,False,3,12.7,Mammalia,Chiroptera,Phyllostomidae,526,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b343bcf885397d3f540441a06899f8,01b343bcf885397d3f540441a06899f8,No,NoDisponible,,,,,,,
3635,Sturnira parvidens,184800,-98.075,18.6097222,,False,3,4.78,Mammalia,Chiroptera,Phyllostomidae,1506,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01c933ec5e39458f2e121d4870d0a1cd,01c933ec5e39458f2e121d4870d0a1cd,No,NoDisponible,,,,,,,
3016,Sturnira parvidens,213655,-94.731392,17.9638882,,False,3,15.07,Mammalia,Chiroptera,Phyllostomidae,32,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ca047552deaa55b4889fc9e029aef9,01ca047552deaa55b4889fc9e029aef9,No,NoDisponible,,,,,,,
3915,Sturnira parvidens,145912,-102.5416666,18.0391666,,False,3,16.11,Mammalia,Chiroptera,Phyllostomidae,11,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d54ca1dbf3a8513bcdb199f49d6260,01d54ca1dbf3a8513bcdb199f49d6260,No,NoDisponible,,,,,,,
2921,Sturnira parvidens,136583,-103.9341666,19.3152777,,False,3,15.35,Mammalia,Chiroptera,Phyllostomidae,537,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ef1023fe9fcfb6247a7383a708c9e5,01ef1023fe9fcfb6247a7383a708c9e5,No,NoDisponible,,,,,,,
2353,Sturnira parvidens,136801,-103.7532874,20.84154,,False,3,6.27,Mammalia,Chiroptera,Phyllostomidae,1273,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f5210a8065b3d1968611c577e06bb5,01f5210a8065b3d1968611c577e06bb5,No,NoDisponible,,,,,,,
2292,Sturnira parvidens,175445,-99.4462675,22.843604,,False,3,5.25,Mammalia,Chiroptera,Phyllostomidae,421,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01f98e7990963e185aa8739db98d6aa1,01f98e7990963e185aa8739db98d6aa1,No,NoDisponible,,,,,,,
3089,Sturnira parvidens,226773,-93.135559,17.9905548,,False,3,13.11,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01ff0fa923b40ce3432ea49442b68f18,01ff0fa923b40ce3432ea49442b68f18,No,NoDisponible,,,,,,,
1911,Sturnira parvidens,170432,-99.5,21.2798333,,False,3,6.43,Mammalia,Chiroptera,Phyllostomidae,765,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02021a29c9151bc04c7213e70d7645bc,02021a29c9151bc04c7213e70d7645bc,No,NoDisponible,,,,,,,
