,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
815,Sylvilagus audubonii,123997,-105.5722222,31.0147222,,False,5,2.3,Mammalia,Lagomorpha,Leporidae,1045,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00e16be85ca39e15b6ce05042a8a3ed2,00e16be85ca39e15b6ce05042a8a3ed2,No,NoDisponible,,,,,,,
744,Sylvilagus audubonii,65203,-112.8544444,31.8613889,,False,5,2.42,Mammalia,Lagomorpha,Leporidae,397,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0101a20816ee17a6a7c76523bd365801,0101a20816ee17a6a7c76523bd365801,No,NoDisponible,,,,,,,
29,Sylvilagus audubonii,175084,-98.912339,19.270652,,False,5,1.02,Mammalia,Lagomorpha,Leporidae,2223,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0112b3a9c17750e9ae1ddf8011e73f15,0112b3a9c17750e9ae1ddf8011e73f15,No,NoDisponible,,,,,,,
590,Sylvilagus audubonii,119231,-105.807662,29.561679,,False,5,6.13,Mammalia,Lagomorpha,Leporidae,1456,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0121f081e805b663368ab1cd5559ee9f,0121f081e805b663368ab1cd5559ee9f,No,NoDisponible,,,,,,,
207,Sylvilagus audubonii,137484,-103.7900472,26.6741861,,False,5,3.91,Mammalia,Lagomorpha,Leporidae,1119,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0148f19dc2fbd2a555e66e5946805238,0148f19dc2fbd2a555e66e5946805238,No,NoDisponible,,,,,,,
792,Sylvilagus audubonii,123699,-105.3619444,28.3802778,,False,5,3.21,Mammalia,Lagomorpha,Leporidae,1213,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=015d6fe36d77112aee0b84bf5e37f79c,015d6fe36d77112aee0b84bf5e37f79c,No,NoDisponible,,,,,,,
616,Sylvilagus audubonii,109753,-107.0166667,25.8333333,,True,3,-16.46,Mammalia,Lagomorpha,Leporidae,1853,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01637e7291511dacd63d22ef5cd7a37e,01637e7291511dacd63d22ef5cd7a37e,Si,NoDisponible,No,No,Si,,,,
235,Sylvilagus audubonii,137484,-103.7913472,26.674,,False,5,3.91,Mammalia,Lagomorpha,Leporidae,1115,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0181d209f6294d3da71eb16dd0145dd0,0181d209f6294d3da71eb16dd0145dd0,No,NoDisponible,,,,,,,
944,Sylvilagus audubonii,114736,-106.3872222,29.8233333,,False,5,2.97,Mammalia,Lagomorpha,Leporidae,1610,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a721848e04d817ded2296692ba34d0,01a721848e04d817ded2296692ba34d0,No,NoDisponible,,,,,,,
67,Sylvilagus audubonii,100882,-108.6197222,26.4169444,,True,4,-3.33,Mammalia,Lagomorpha,Leporidae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01b3c480b3e31f45b25eefeca7ce53f5,01b3c480b3e31f45b25eefeca7ce53f5,No,NoDisponible,,,,,,,
