,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
104,Sylvilagus brasiliensis,194865,-96.825,18.9527778,,False,3,17.28,Mammalia,Lagomorpha,Leporidae,839,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01fee56fb997360a8097c03e978bd42d,01fee56fb997360a8097c03e978bd42d,No,NoDisponible,,,,,,,
5,Sylvilagus brasiliensis,230976,-91.9916667,17.525,,False,4,31.62,Mammalia,Lagomorpha,Leporidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07e25baed548053e584c62b3fbe46452,07e25baed548053e584c62b3fbe46452,No,NoDisponible,,,,,,,
53,Sylvilagus brasiliensis,190117,-97.40306,20.95889,,False,3,11.8,Mammalia,Lagomorpha,Leporidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c413c0b69617d7698b1b5859f39a74f,0c413c0b69617d7698b1b5859f39a74f,No,NoDisponible,,,,,,,
6,Sylvilagus brasiliensis,230976,-91.9916667,17.525,,False,4,31.62,Mammalia,Lagomorpha,Leporidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e91fab377ce633da1f5c7a6898603e3,0e91fab377ce633da1f5c7a6898603e3,No,NoDisponible,,,,,,,
7,Sylvilagus brasiliensis,230976,-91.9916667,17.525,,False,4,31.62,Mammalia,Lagomorpha,Leporidae,78,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1308e7060b3f81d50991db6df5420d10,1308e7060b3f81d50991db6df5420d10,No,NoDisponible,,,,,,,
96,Sylvilagus brasiliensis,184991,-98.0525,20.175,,False,3,-0.62,Mammalia,Lagomorpha,Leporidae,1544,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1484adc7f9c30e9785657953a0e1a5a5,1484adc7f9c30e9785657953a0e1a5a5,No,NoDisponible,,,,,,,
90,Sylvilagus brasiliensis,226763,-92.9011111,17.5463889,,False,4,29.28,Mammalia,Lagomorpha,Leporidae,85,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14be86805dbc02c7117d35218761fc3d,14be86805dbc02c7117d35218761fc3d,No,NoDisponible,,,,,,,
56,Sylvilagus brasiliensis,208997,-95.1322222,17.7341667,,False,4,19.85,Mammalia,Lagomorpha,Leporidae,39,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=150e35b5078317f4b71b165948f97644,150e35b5078317f4b71b165948f97644,No,NoDisponible,,,,,,,
23,Sylvilagus brasiliensis,226761,-92.9379508,17.548,,False,4,31.29,Mammalia,Lagomorpha,Leporidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=162f7420fb3bde9efc0687b2ff37741f,162f7420fb3bde9efc0687b2ff37741f,No,NoDisponible,,,,,,,
47,Sylvilagus brasiliensis,204452,-95.5934999,18.7221047,,False,4,20.94,Mammalia,Lagomorpha,Leporidae,17,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=170487fbcf34e7d2143983bdb4a08612,170487fbcf34e7d2143983bdb4a08612,No,NoDisponible,,,,,,,
59,Sylvilagus brasiliensis,199660,-96.0325,18.1763889,,False,4,21.48,Mammalia,Lagomorpha,Leporidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=174ed9cd2f3c6f66f76a446e6fd0f85e,174ed9cd2f3c6f66f76a446e6fd0f85e,No,NoDisponible,,,,,,,
