,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
27,Tapirella bairdii,213587,-94.7258256,17.32,,False,4,24.99,Mammalia,Perissodactyla,Tapiridae,25,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0013d7bae1edc62218fda4200f046472,0013d7bae1edc62218fda4200f046472,No,NoDisponible,NoDisponible,,,,,,
72,Tapirella bairdii,218114,-94.222475,17.1220306,,False,4,34.72,Mammalia,Perissodactyla,Tapiridae,442,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003259d860e68a8a78b0a9e83b7d2535,003259d860e68a8a78b0a9e83b7d2535,No,NoDisponible,NoDisponible,,,,,,
250,Tapirella bairdii,256856,-89.0355556,20.7994444,,False,4,10.87,Mammalia,Perissodactyla,Tapiridae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00580506618e20a6c4f8a34347ca7c85,00580506618e20a6c4f8a34347ca7c85,No,NoDisponible,NoDisponible,,,,,,
8,Tapirella bairdii,256627,-88.7019444,18.4291667,,False,4,19.68,Mammalia,Perissodactyla,Tapiridae,53,Terrestre,1983,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0060fa579014867b1f8dc0e2f2a4143b,0060fa579014867b1f8dc0e2f2a4143b,No,NoDisponible,NoDisponible,,,,,,
214,Tapirella bairdii,265582,-87.4833333,21.0333333,,False,4,18.68,Mammalia,Perissodactyla,Tapiridae,16,Terrestre,1917,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013dcd07c6b72e29a522ce15af460c70,013dcd07c6b72e29a522ce15af460c70,No,NoDisponible,NoDisponible,,,,,,
30,Tapirella bairdii,213590,-94.8463889,17.5413889,,False,4,23.09,Mammalia,Perissodactyla,Tapiridae,44,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01599e013910f3478febe58b59d9c7f0,01599e013910f3478febe58b59d9c7f0,No,NoDisponible,NoDisponible,,,,,,
60,Tapirella bairdii,247976,-89.8578444,18.3065639,,False,4,15.46,Mammalia,Perissodactyla,Tapiridae,216,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03bda98b40fa0a2d23ae964349dda755,03bda98b40fa0a2d23ae964349dda755,No,NoDisponible,NoDisponible,,,,,,
210,Tapirella bairdii,252212,-89.322128,17.951947,,False,4,19.08,Mammalia,Perissodactyla,Tapiridae,143,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=062d4fcaab846c0e3399a76bbe55dfb2,062d4fcaab846c0e3399a76bbe55dfb2,No,NoDisponible,NoDisponible,,,,,,
235,Tapirella bairdii,261075,-88.4,19.5,,False,4,19.63,Mammalia,Perissodactyla,Tapiridae,22,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=067c8910500df51ae8f95fe2d2a54809,067c8910500df51ae8f95fe2d2a54809,No,NoDisponible,NoDisponible,,,,,,
102,Tapirella bairdii,243398,-90.826025,16.1274472,,False,4,30.42,Mammalia,Perissodactyla,Tapiridae,162,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=084fb8c61d27c4b8d571c9f300e694d0,084fb8c61d27c4b8d571c9f300e694d0,No,NoDisponible,NoDisponible,,,,,,
160,Tapirella bairdii,247974,-89.9502847,18.3213405,,False,4,16.52,Mammalia,Perissodactyla,Tapiridae,223,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08aae948434825bc4a64646f5a3cb9a9,08aae948434825bc4a64646f5a3cb9a9,No,NoDisponible,NoDisponible,,,,,,
252,Tapirella bairdii,226512,-92.8513889,15.5816667,,False,4,15.4,Mammalia,Perissodactyla,Tapiridae,624,Terrestre,1948,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fd1b9d4492b443d84641a3554dc790,08fd1b9d4492b443d84641a3554dc790,No,NoDisponible,NoDisponible,,,,,,
124,Tapirella bairdii,218128,-94.0353167,17.2051972,,False,4,37.5,Mammalia,Perissodactyla,Tapiridae,591,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a5ea463430d30ffd39abe13bebf0ec5,0a5ea463430d30ffd39abe13bebf0ec5,No,NoDisponible,NoDisponible,,,,,,
39,Tapirella bairdii,169876,-99.9301136,16.85,,False,3,5.33,Mammalia,Perissodactyla,Tapiridae,,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bc2563e49957ffd464f871f0b6abc6c,0bc2563e49957ffd464f871f0b6abc6c,Si,NoDisponible,NoDisponible,Si,No,No,BufferCosteroMarinoContinental,,
225,Tapirella bairdii,213503,-94.3333333,16.3666667,,False,4,11.13,Mammalia,Perissodactyla,Tapiridae,56,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c64d30c5057fb48d6fe0dc57d5a9b3e,0c64d30c5057fb48d6fe0dc57d5a9b3e,No,NoDisponible,NoDisponible,,,,,,
186,Tapirella bairdii,199508,-96.4916667,17.3416667,,True,0,-135.37,Mammalia,Perissodactyla,Tapiridae,2165,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c8bc6db7ebe3c1f4046fcc714a0e987,0c8bc6db7ebe3c1f4046fcc714a0e987,No,NoDisponible,NoDisponible,,,,,,
254,Tapirella bairdii,252278,-89.3972222,18.6,,False,4,14.4,Mammalia,Perissodactyla,Tapiridae,274,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0d6a3da5ab5c73f46b90d3284358a6cb,0d6a3da5ab5c73f46b90d3284358a6cb,No,NoDisponible,NoDisponible,,,,,,
173,Tapirella bairdii,261012,-88.3945938,19.0072213,,False,4,20.8,Mammalia,Perissodactyla,Tapiridae,25,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e172c20e7422c5cdf340a9f13b1f71b,0e172c20e7422c5cdf340a9f13b1f71b,No,NoDisponible,NoDisponible,,,,,,
98,Tapirella bairdii,243398,-90.8204528,16.1209528,,False,4,30.42,Mammalia,Perissodactyla,Tapiridae,170,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e5e530eae70db31176e1f1a3081dd91,0e5e530eae70db31176e1f1a3081dd91,No,NoDisponible,NoDisponible,,,,,,
19,Tapirella bairdii,239287,-91.0083333,16.9083333,,False,4,30.54,Mammalia,Perissodactyla,Tapiridae,,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ea6b487481e4fdcf61fd270392b6aa0,0ea6b487481e4fdcf61fd270392b6aa0,Si,NoDisponible,NoDisponible,Si,No,,,,
204,Tapirella bairdii,226545,-92.8075,15.6569444,,False,3,-9.99,Mammalia,Perissodactyla,Tapiridae,1979,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10dd707f2d39b77b15522133fc603e33,10dd707f2d39b77b15522133fc603e33,No,NoDisponible,NoDisponible,,,,,,
137,Tapirella bairdii,261114,-88.0452778,19.5794444,,False,4,21.52,Mammalia,Perissodactyla,Tapiridae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=122c094c116512b404b4c9d28dfd55de,122c094c116512b404b4c9d28dfd55de,No,NoDisponible,NoDisponible,,,,,,
234,Tapirella bairdii,247925,-89.9616667,18.0172222,,False,4,16.88,Mammalia,Perissodactyla,Tapiridae,235,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=123dc6626168d12170f1f2bf9e722b94,123dc6626168d12170f1f2bf9e722b94,No,NoDisponible,NoDisponible,,,,,,
208,Tapirella bairdii,226488,-92.7133333,15.2969444,,False,3,5.29,Mammalia,Perissodactyla,Tapiridae,26,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=159786abd54d7d7a715a88a6d4635ecb,159786abd54d7d7a715a88a6d4635ecb,No,NoDisponible,NoDisponible,,,,,,
