,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
106,Taxidea taxus,100962,-108.3208333,26.7075,,True,1,-4.5,Mammalia,Carnivora,Mustelidae,232,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00de72356d057d59c2d25895e0ad1013,00de72356d057d59c2d25895e0ad1013,No,NoDisponible,,,,,,,
46,Taxidea taxus,78511,-110.966667,28.796163,,False,2,5.35,Mammalia,Carnivora,Mustelidae,204,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f6e511925ac43df0bae9e17d7ad3b6,00f6e511925ac43df0bae9e17d7ad3b6,No,NoDisponible,,,,,,,
121,Taxidea taxus,175659,-98.9430556,24.0152778,,False,2,-2.02,Mammalia,Carnivora,Mustelidae,152,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=013cb30f25c51f28157ea857200365f4,013cb30f25c51f28157ea857200365f4,No,NoDisponible,,,,,,,
126,Taxidea taxus,156015,-101.2419444,22.0136111,,False,2,0.77,Mammalia,Carnivora,Mustelidae,2185,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01a19bdafaf8b98d690034d97a060892,01a19bdafaf8b98d690034d97a060892,No,NoDisponible,,,,,,,
10,Taxidea taxus,170712,-99.9125,23.9558333,,False,2,-0.33,Mammalia,Carnivora,Mustelidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e823994b22d3d019fc0a1eaf1fa33f,03e823994b22d3d019fc0a1eaf1fa33f,No,NoDisponible,,,,,,,
109,Taxidea taxus,160726,-101.1155556,21.8411111,,False,2,-0.8,Mammalia,Carnivora,Mustelidae,1963,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04cacb5cfb55c764b0c0e47d408eae0c,04cacb5cfb55c764b0c0e47d408eae0c,No,NoDisponible,,,,,,,
92,Taxidea taxus,166140,-100.0485186,25.9275638,,False,2,-3.27,Mammalia,Carnivora,Mustelidae,410,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04fcb62bbad6522a47ac9db1957daeb0,04fcb62bbad6522a47ac9db1957daeb0,No,NoDisponible,,,,,,,
11,Taxidea taxus,170712,-99.9125,23.9558333,,False,2,-0.33,Mammalia,Carnivora,Mustelidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e052ecd6cca49edade4545262a1613,05e052ecd6cca49edade4545262a1613,No,NoDisponible,,,,,,,
12,Taxidea taxus,170712,-99.9125,23.9558333,,False,2,-0.33,Mammalia,Carnivora,Mustelidae,2233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=075abf68e13021fee059455ca68f3725,075abf68e13021fee059455ca68f3725,No,NoDisponible,,,,,,,
91,Taxidea taxus,96428,-108.7228397,26.1502977,,False,2,-0.74,Mammalia,Carnivora,Mustelidae,41,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0853a128d91ff0965c1ca77d0f65a905,0853a128d91ff0965c1ca77d0f65a905,No,NoDisponible,,,,,,,
