,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
133,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0173d587a3b8ea89826f6d1e4a930a9e,0173d587a3b8ea89826f6d1e4a930a9e,No,,,,,,,,
134,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02fd9b9a97fe39d414f408793f1cea9c,02fd9b9a97fe39d414f408793f1cea9c,No,,,,,,,,
56,Tayassu pecari,239270,-91.0833333,16.7166667,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,275,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041631835fb8042c4e3a816552cffc3b,041631835fb8042c4e3a816552cffc3b,No,,,,,,,,
35,Tayassu pecari,243398,-90.8220111,16.1236444,,False,4,27.92,Mammalia,Artiodactyla,Tayassuidae,169,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07323270be0d8ae8f825ec066ce32e26,07323270be0d8ae8f825ec066ce32e26,No,,,,,,,,
41,Tayassu pecari,239216,-90.8833333,16.15,,False,4,28.32,Mammalia,Artiodactyla,Tayassuidae,187,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07687d32bdb48676c359ffbea9fbf6a9,07687d32bdb48676c359ffbea9fbf6a9,No,,,,,,,,
8,Tayassu pecari,239214,-90.9151389,16.1643611,,False,4,31.42,Mammalia,Artiodactyla,Tayassuidae,182,Terrestre,2012,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0901d5aec1d280e96ca207ce10193d87,0901d5aec1d280e96ca207ce10193d87,No,,,,,,,,
135,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=094f9bae36d36161ead673ba1ee96b89,094f9bae36d36161ead673ba1ee96b89,No,,,,,,,,
33,Tayassu pecari,256581,-89.0603361,18.2773917,,False,4,19.36,Mammalia,Artiodactyla,Tayassuidae,183,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e3aa5e8512a6c7df3855e14ee98deb8,0e3aa5e8512a6c7df3855e14ee98deb8,No,,,,,,,,
70,Tayassu pecari,239270,-91.0652778,16.7088889,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,322,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=124fab0cf4cdc8acaa47b4a1032b8b40,124fab0cf4cdc8acaa47b4a1032b8b40,No,,,,,,,,
82,Tayassu pecari,247971,-89.8771563,18.1206947,,False,4,17.67,Mammalia,Artiodactyla,Tayassuidae,217,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13f54b708fb766b583df1e0b1b48912e,13f54b708fb766b583df1e0b1b48912e,No,,,,,,,,
92,Tayassu pecari,213623,-94.4577778,17.4327778,,False,4,26.65,Mammalia,Artiodactyla,Tayassuidae,121,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d5428056d031a860176c9c8f18d39a,15d5428056d031a860176c9c8f18d39a,No,,,,,,,,
89,Tayassu pecari,265317,-87.664576,18.825747,,False,3,5.66,Mammalia,Artiodactyla,Tayassuidae,10,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1850d09f90da0c6fed176855d98fe548,1850d09f90da0c6fed176855d98fe548,No,,,,,,,,
6,Tayassu pecari,239214,-90.9144444,16.1618611,,False,4,31.42,Mammalia,Artiodactyla,Tayassuidae,188,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fa63098762a9564664ed97bed38236d,1fa63098762a9564664ed97bed38236d,No,,,,,,,,
17,Tayassu pecari,131915,-104.3911111,19.2286111,Ejemplar fuera de su rango de distribución conocida.,False,3,1.06,Mammalia,Artiodactyla,Tayassuidae,273,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fc9e3ad0624cfe82191aa4cc4f88841,1fc9e3ad0624cfe82191aa4cc4f88841,Si,NoDisponible,No,No,No,,,,
93,Tayassu pecari,222419,-93.61091,16.1965,,True,1,-91.5,Mammalia,Artiodactyla,Tayassuidae,2432,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2053b234cae556cb5571422e57c22dfe,2053b234cae556cb5571422e57c22dfe,No,,,,,,,,
14,Tayassu pecari,226761,-92.9379508,17.548,,False,4,21.78,Mammalia,Artiodactyla,Tayassuidae,64,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20b0b57c4814243b6d804b88848b0221,20b0b57c4814243b6d804b88848b0221,No,,,,,,,,
57,Tayassu pecari,239270,-91.0833333,16.7166667,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,275,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=218664d554f08ca66d4a6d37aecb16f1,218664d554f08ca66d4a6d37aecb16f1,No,,,,,,,,
113,Tayassu pecari,247932,-89.6916667,17.925,,False,4,19.07,Mammalia,Artiodactyla,Tayassuidae,243,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2192c710810f85948d102a55ad2ed2c3,2192c710810f85948d102a55ad2ed2c3,No,,,,,,,,
136,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25d5194499f89c1c4fa819548b229cb1,25d5194499f89c1c4fa819548b229cb1,No,,,,,,,,
100,Tayassu pecari,235176,-91.6152778,17.2508333,,False,4,28.12,Mammalia,Artiodactyla,Tayassuidae,230,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=270311e491ebfe05541da89c8f9a9f71,270311e491ebfe05541da89c8f9a9f71,No,,,,,,,,
153,Tayassu pecari,226641,-93.1,16.7269444,,False,3,-13.28,Mammalia,Artiodactyla,Tayassuidae,630,Terrestre,1984,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=287cde2dd5e7f7ff17c4641f787d603e,287cde2dd5e7f7ff17c4641f787d603e,No,,,,,,,,
37,Tayassu pecari,243398,-90.8273722,16.1292222,,False,4,27.92,Mammalia,Artiodactyla,Tayassuidae,173,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b839ee1555af3194ca12a9e3a0162b9,2b839ee1555af3194ca12a9e3a0162b9,No,,,,,,,,
137,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30c33b247334e9585f2f6f1092bcb043,30c33b247334e9585f2f6f1092bcb043,No,,,,,,,,
45,Tayassu pecari,261098,-88.0669111,19.3007167,,False,4,19.79,Mammalia,Artiodactyla,Tayassuidae,7,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=324936174ba69dbd680b72a319aed140,324936174ba69dbd680b72a319aed140,No,,,,,,,,
150,Tayassu pecari,239260,-91.1625,16.8125,,False,4,21.68,Mammalia,Artiodactyla,Tayassuidae,350,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=34250e94a59d9466e35c128716d09f80,34250e94a59d9466e35c128716d09f80,No,,,,,,,,
58,Tayassu pecari,239270,-91.0833333,16.7166667,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,275,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=35fab557bc9aa7df3a9c8f6a9debe06c,35fab557bc9aa7df3a9c8f6a9debe06c,No,,,,,,,,
131,Tayassu pecari,243874,-90.5316667,19.8422222,,False,3,6.28,Mammalia,Artiodactyla,Tayassuidae,14,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=392ced4c4c7da54db729d8c0384ebc38,392ced4c4c7da54db729d8c0384ebc38,No,,,,,,,,
75,Tayassu pecari,226503,-93.0072222,15.4855555,,False,3,-4.56,Mammalia,Artiodactyla,Tayassuidae,21,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cfc27263e5424c2813d5db5c20054ee,3cfc27263e5424c2813d5db5c20054ee,No,,,,,,,,
80,Tayassu pecari,239215,-90.8706916,16.0887405,,False,4,26.48,Mammalia,Artiodactyla,Tayassuidae,177,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d29369090697e9502ec50ec1da5d3e3,3d29369090697e9502ec50ec1da5d3e3,No,,,,,,,,
40,Tayassu pecari,239216,-90.8833333,16.15,,False,4,28.32,Mammalia,Artiodactyla,Tayassuidae,187,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3d42a6815b126232000e835187f57767,3d42a6815b126232000e835187f57767,No,,,,,,,,
2,Tayassu pecari,239259,-91.1302778,16.7605556,,False,4,19.38,Mammalia,Artiodactyla,Tayassuidae,320,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3f27157e829e1427ddd0fd4fa1e283b0,3f27157e829e1427ddd0fd4fa1e283b0,No,,,,,,,,
109,Tayassu pecari,230946,-92.2402778,17.1125,,False,4,11.2,Mammalia,Artiodactyla,Tayassuidae,975,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fcd5dc40c4a8970f3c78016b6e5d084,3fcd5dc40c4a8970f3c78016b6e5d084,No,,,,,,,,
77,Tayassu pecari,247948,-89.9787172,18.1784797,,False,4,16.78,Mammalia,Artiodactyla,Tayassuidae,191,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=414474a969fc898694c18aa256dc5495,414474a969fc898694c18aa256dc5495,No,,,,,,,,
76,Tayassu pecari,247984,-89.7531294,18.3396491,,False,4,16.56,Mammalia,Artiodactyla,Tayassuidae,258,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4173cd19ce856b51bcd238a7ee29dd73,4173cd19ce856b51bcd238a7ee29dd73,No,,,,,,,,
107,Tayassu pecari,122965,-105.7766667,22.8352778,Ejemplar fuera de su rango de distribución conocida.,False,3,-5.1,Mammalia,Artiodactyla,Tayassuidae,36,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=44e7018119ac8e298593e11091685585,44e7018119ac8e298593e11091685585,Si,NoDisponible,No,No,No,,,,
5,Tayassu pecari,239214,-90.941068,16.112573,,False,4,31.42,Mammalia,Artiodactyla,Tayassuidae,159,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=49a69a3ad375adfc37341c390fa125d9,49a69a3ad375adfc37341c390fa125d9,No,,,,,,,,
117,Tayassu pecari,239413,-91.0783333,17.9583333,,False,4,14.08,Mammalia,Artiodactyla,Tayassuidae,62,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=49d9f004b17d85be57ef25bc917850a3,49d9f004b17d85be57ef25bc917850a3,No,,,,,,,,
59,Tayassu pecari,239270,-91.0833333,16.7166667,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,275,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=49f5dfe69615ef5f48c5acd1cff159b6,49f5dfe69615ef5f48c5acd1cff159b6,No,,,,,,,,
20,Tayassu pecari,247979,-89.7411111,18.1191666,,False,4,16.98,Mammalia,Artiodactyla,Tayassuidae,277,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a41b9f27654fba65f87d3b6cae0e266,4a41b9f27654fba65f87d3b6cae0e266,No,,,,,,,,
52,Tayassu pecari,239270,-91.0833333,16.7166666,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,275,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4addb0d310076821587034a9a83c8c7c,4addb0d310076821587034a9a83c8c7c,No,,,,,,,,
18,Tayassu pecari,247979,-89.7396336,18.1301513,,False,4,16.98,Mammalia,Artiodactyla,Tayassuidae,298,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b30c6b6a349ed5750a3d02ebe473c70,4b30c6b6a349ed5750a3d02ebe473c70,No,,,,,,,,
124,Tayassu pecari,256900,-89.0177778,20.9313889,,False,4,12.23,Mammalia,Artiodactyla,Tayassuidae,22,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b804f1053e2a6d184f41d95a6ea70a8,4b804f1053e2a6d184f41d95a6ea70a8,No,,,,,,,,
9,Tayassu pecari,239287,-91.0083333,16.9083333,,False,4,28.01,Mammalia,Artiodactyla,Tayassuidae,,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4ca2105375d4e0985d684afeebc0bca0,4ca2105375d4e0985d684afeebc0bca0,No,,,,,,,,
38,Tayassu pecari,239227,-90.89275,16.1768889,,False,4,27.49,Mammalia,Artiodactyla,Tayassuidae,165,Terrestre,2011,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f2031fff56d76d4cc9a6264267e87cd,4f2031fff56d76d4cc9a6264267e87cd,No,,,,,,,,
73,Tayassu pecari,239270,-91.0652778,16.7088889,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,322,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4f7cb8c805b90a2530d3c08e2e123da9,4f7cb8c805b90a2530d3c08e2e123da9,No,,,,,,,,
118,Tayassu pecari,243899,-90.3069444,20.0102778,,False,3,6.22,Mammalia,Artiodactyla,Tayassuidae,13,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=540a4bcc83e5dd78ddb24aa549347717,540a4bcc83e5dd78ddb24aa549347717,No,,,,,,,,
54,Tayassu pecari,239270,-91.0644444,16.7019444,,False,4,23.77,Mammalia,Artiodactyla,Tayassuidae,284,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=564bfbc179a0a996b6dcda1f21b1e6f3,564bfbc179a0a996b6dcda1f21b1e6f3,No,,,,,,,,
