,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
7,Thyroptera tricolor,209079,-95.0355556,18.5041667,,False,2,35.64,Mammalia,Chiroptera,Thyropteridae,25,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=003a212763d93e4e41cc6325c74b36da,003a212763d93e4e41cc6325c74b36da,No,NoDisponible,,,,,,,
3,Thyroptera tricolor,209079,-95.0355555,18.5041666,,False,2,35.64,Mammalia,Chiroptera,Thyropteridae,25,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=258894e6b579e600b32271cffdbed273,258894e6b579e600b32271cffdbed273,No,NoDisponible,,,,,,,
11,Thyroptera tricolor,226494,-92.6583333,15.3194444,,False,1,9.97,Mammalia,Chiroptera,Thyropteridae,81,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a1bc35af82907f785285da3a4df93ea,4a1bc35af82907f785285da3a4df93ea,No,NoDisponible,,,,,,,
8,Thyroptera tricolor,209079,-95.0355556,18.5041667,,False,2,35.64,Mammalia,Chiroptera,Thyropteridae,25,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b8a80e032f5eb2f3ba6319ba936513c,4b8a80e032f5eb2f3ba6319ba936513c,No,NoDisponible,,,,,,,
17,Thyroptera tricolor,239214,-90.9333333,16.1166667,,False,2,38.57,Mammalia,Chiroptera,Thyropteridae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b1ddc8b274aec6dc7e137ffbdd806e1,5b1ddc8b274aec6dc7e137ffbdd806e1,No,NoDisponible,,,,,,,
18,Thyroptera tricolor,239214,-90.9333333,16.1166667,,False,2,38.57,Mammalia,Chiroptera,Thyropteridae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5fa8ac5523c020b9ef3713ac4b6f97b7,5fa8ac5523c020b9ef3713ac4b6f97b7,No,NoDisponible,,,,,,,
0,Thyroptera tricolor,226531,-92.731268,15.353732,,False,2,26.42,Mammalia,Chiroptera,Thyropteridae,59,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=70a9842719d28910cea2c45c9ad1f164,70a9842719d28910cea2c45c9ad1f164,No,NoDisponible,,,,,,,
9,Thyroptera tricolor,209078,-95.0788095,18.6147278,,False,2,29.96,Mammalia,Chiroptera,Thyropteridae,105,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7ee670061c0824ee545d29b3e1ac3359,7ee670061c0824ee545d29b3e1ac3359,Si,NoDisponible,No,Si,Si,,,,
10,Thyroptera tricolor,199785,-96.1378,19.1992,,False,1,14.7,Mammalia,Chiroptera,Thyropteridae,20,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9ab34d9526b7cefd638fe4f125890875,9ab34d9526b7cefd638fe4f125890875,Si,NoDisponible,No,No,Si,,,,
12,Thyroptera tricolor,209085,-95.0022222,18.5041667,,False,2,25.34,Mammalia,Chiroptera,Thyropteridae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=9e899b51f685198ff53821c84069ae98,9e899b51f685198ff53821c84069ae98,No,NoDisponible,,,,,,,
