,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
162,Tlacuatzin canescens,100962,-108.32583,26.70861,,False,2,-1.9,Mammalia,Didelphimorphia,Didelphidae,234,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=029baa8e79ce453fb2d2965d8eb51caf,029baa8e79ce453fb2d2965d8eb51caf,No,NoDisponible,,,,,,,
81,Tlacuatzin canescens,136591,-103.7749999,19.3169444,,False,3,20.76,Mammalia,Didelphimorphia,Didelphidae,550,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0304549eda43a41a5eb8c14ecb8d44fb,0304549eda43a41a5eb8c14ecb8d44fb,No,NoDisponible,,,,,,,
231,Tlacuatzin canescens,204194,-95.6944444,16.5672222,,False,2,9.76,Mammalia,Didelphimorphia,Didelphidae,1492,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=034c9ebb79e6e19600148ff52c9d6b79,034c9ebb79e6e19600148ff52c9d6b79,No,NoDisponible,,,,,,,
138,Tlacuatzin canescens,141435,-102.927175,20.0298222,,False,2,-0.44,Mammalia,Didelphimorphia,Didelphidae,2098,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0481c999cd4979590d8a831b13f6feec,0481c999cd4979590d8a831b13f6feec,No,NoDisponible,,,,,,,
155,Tlacuatzin canescens,208797,-95.2361111,16.3277778,,False,3,15.37,Mammalia,Didelphimorphia,Didelphidae,53,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=065a56ee12cb9c3e4c891948d8c8f7a7,065a56ee12cb9c3e4c891948d8c8f7a7,No,NoDisponible,,,,,,,
252,Tlacuatzin canescens,127502,-105.0519444,21.5394444,,False,3,14.47,Mammalia,Didelphimorphia,Didelphidae,852,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=069889ed76ac768161d452e180a11691,069889ed76ac768161d452e180a11691,No,NoDisponible,,,,,,,
170,Tlacuatzin canescens,189704,-97.6583333,17.8083333,,True,1,-8.69,Mammalia,Didelphimorphia,Didelphidae,1986,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=07880bf78b85b327358ddd071c53e015,07880bf78b85b327358ddd071c53e015,No,NoDisponible,,,,,,,
251,Tlacuatzin canescens,194515,-97.08,16.1944444,,False,2,6.42,Mammalia,Didelphimorphia,Didelphidae,1713,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086c6fa27d5b143f1f1c66eaaa446b2b,086c6fa27d5b143f1f1c66eaaa446b2b,No,NoDisponible,,,,,,,
22,Tlacuatzin canescens,127259,-104.9583333,19.4833333,,False,3,18.59,Mammalia,Didelphimorphia,Didelphidae,195,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08e096bbe6a8a48b06c22b11e261e88b,08e096bbe6a8a48b06c22b11e261e88b,No,NoDisponible,,,,,,,
261,Tlacuatzin canescens,141316,-103.3786111,19.2519444,,False,2,13.85,Mammalia,Didelphimorphia,Didelphidae,732,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c2e6e604aec420ab429a7779bb54f2d,0c2e6e604aec420ab429a7779bb54f2d,No,NoDisponible,,,,,,,
