,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
144,Uroderma bilobatum,218025,-93.8431944,15.9515,,False,5,21.33,Mammalia,Chiroptera,Phyllostomidae,7,Terrestre,1999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01dd02d66ab9fafcc86413e23d8314b5,01dd02d66ab9fafcc86413e23d8314b5,No,NoDisponible,,,,,,,
164,Uroderma bilobatum,209074,-95.1029366,18.4762211,,False,5,23.45,Mammalia,Chiroptera,Phyllostomidae,638,Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03791ef0348f5aa031de650ca01a43e7,03791ef0348f5aa031de650ca01a43e7,No,NoDisponible,,,,,,,
302,Uroderma bilobatum,226704,-92.9083333,17.2605556,,True,1,-45.21,Mammalia,Chiroptera,Phyllostomidae,2226,Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05797ea6169d92a1a15f509ffc47e315,05797ea6169d92a1a15f509ffc47e315,No,NoDisponible,,,,,,,
167,Uroderma bilobatum,230690,-92.26056,14.90806,,False,5,21.68,Mammalia,Chiroptera,Phyllostomidae,178,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06776b01cb120359f069b84a20c3cf2c,06776b01cb120359f069b84a20c3cf2c,No,NoDisponible,,,,,,,
209,Uroderma bilobatum,235158,-91.9822222,17.5091667,,False,5,26.22,Mammalia,Chiroptera,Phyllostomidae,86,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06eb80fd869ba45e0b869bb18b4b4b2d,06eb80fd869ba45e0b869bb18b4b4b2d,No,NoDisponible,,,,,,,
227,Uroderma bilobatum,239214,-90.9333333,16.1166667,,False,5,32.17,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06ef48c7d7ad650125d3ace1559943df,06ef48c7d7ad650125d3ace1559943df,No,NoDisponible,,,,,,,
165,Uroderma bilobatum,235170,-91.6544722,17.1153627,,False,4,17.08,Mammalia,Chiroptera,Phyllostomidae,614,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06f99e4dbaa29a21a7dcd465c2802f17,06f99e4dbaa29a21a7dcd465c2802f17,No,NoDisponible,,,,,,,
308,Uroderma bilobatum,226483,-92.7555556,15.0669444,,False,5,22.47,Mammalia,Chiroptera,Phyllostomidae,15,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071011e744bfeef37cf3349c68406def,071011e744bfeef37cf3349c68406def,Si,NoDisponible,No,Si,Si,No,BufferCosteroMarinoContinental,,
154,Uroderma bilobatum,218025,-93.825,15.9511111,,False,5,21.33,Mammalia,Chiroptera,Phyllostomidae,6,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=076bc58fbc1d2a3ec92a2584fe6ea6ee,076bc58fbc1d2a3ec92a2584fe6ea6ee,No,NoDisponible,,,,,,,
112,Uroderma bilobatum,239348,-91.040011,17.343268,,False,5,20.03,Mammalia,Chiroptera,Phyllostomidae,52,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08101616fcd03dc361099ba813ca2872,08101616fcd03dc361099ba813ca2872,No,NoDisponible,,,,,,,
290,Uroderma bilobatum,222403,-93.6091667,15.9569444,,False,5,29.22,Mammalia,Chiroptera,Phyllostomidae,135,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08178092847765006d729e98e52a44bd,08178092847765006d729e98e52a44bd,No,NoDisponible,,,,,,,
108,Uroderma bilobatum,239399,-91.035081,17.679329,,False,4,14.61,Mammalia,Chiroptera,Phyllostomidae,37,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=083b29207e0af9168a3ceb87c2bbdc09,083b29207e0af9168a3ceb87c2bbdc09,No,NoDisponible,,,,,,,
