,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
46,Vampyrodes caraccioli,239214,-90.9333333,16.1166667,,False,3,37.3,Mammalia,Chiroptera,Phyllostomidae,162,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08fe73cbf478d42ff0d0a2ccb48615f7,08fe73cbf478d42ff0d0a2ccb48615f7,Si,NoDisponible,No,Si,Si,,,,
1,Vampyrodes caraccioli,213580,-94.5991667,17.0769444,,False,3,46.7,Mammalia,Chiroptera,Phyllostomidae,450,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a2871e466eee892fa013ca482cef865,0a2871e466eee892fa013ca482cef865,No,NoDisponible,,,,,,,
48,Vampyrodes caraccioli,239216,-90.8786111,16.1163889,,False,2,33.19,Mammalia,Chiroptera,Phyllostomidae,178,Terrestre,1986,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14e9dc4c9a271d4c1e4ecd41ea80c2b5,14e9dc4c9a271d4c1e4ecd41ea80c2b5,Si,NoDisponible,No,No,Si,,,,
41,Vampyrodes caraccioli,226695,-93.0294444,17.1783333,,False,2,26.41,Mammalia,Chiroptera,Phyllostomidae,1233,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1da698f988066e3493ba9fbe74aaeddf,1da698f988066e3493ba9fbe74aaeddf,No,NoDisponible,,,,,,,
50,Vampyrodes caraccioli,222486,-93.6894444,16.9480556,,False,2,35.43,Mammalia,Chiroptera,Phyllostomidae,647,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fc0a63346d5748322064a6ee15c3a01,1fc0a63346d5748322064a6ee15c3a01,Si,NoDisponible,No,Si,Si,,,,
28,Vampyrodes caraccioli,208943,-94.922479,17.193193,,False,2,26.51,Mammalia,Chiroptera,Phyllostomidae,28,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2a7a4a8d79d02d8393fecdff4864a537,2a7a4a8d79d02d8393fecdff4864a537,No,NoDisponible,,,,,,,
56,Vampyrodes caraccioli,230901,-92.2255556,16.8944444,,False,2,27.18,Mammalia,Chiroptera,Phyllostomidae,1520,Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c0b5006584a09ee85ce4f6fb85cf997,2c0b5006584a09ee85ce4f6fb85cf997,Si,NoDisponible,No,No,Si,,,,
51,Vampyrodes caraccioli,230665,-92.3683333,14.7855556,,False,0,2.49,Mammalia,Chiroptera,Phyllostomidae,29,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ddf8b1b3bba0cd2f1b309edc9af0172,2ddf8b1b3bba0cd2f1b309edc9af0172,Si,NoDisponible,No,No,Si,,,,
32,Vampyrodes caraccioli,209078,-95.0788095,18.6147278,,False,2,35.96,Mammalia,Chiroptera,Phyllostomidae,105,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e83600a4a56e41ff5a7f1ad277bb9bd,3e83600a4a56e41ff5a7f1ad277bb9bd,No,NoDisponible,,,,,,,
30,Vampyrodes caraccioli,222517,-93.358,16.858,,False,2,23.37,Mammalia,Chiroptera,Phyllostomidae,959,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43962e7226dd36bca174313eee82fbf1,43962e7226dd36bca174313eee82fbf1,Si,NoDisponible,No,No,Si,,,,
