,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
5,Vampyrodes major,226708,-93.0130556,17.3458333,,False,5,56.05,Mammalia,Chiroptera,Phyllostomidae,484,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03f956a879fbcbdd93fc68bc85736e79,03f956a879fbcbdd93fc68bc85736e79,Si,NoDisponible,NoDisponible,No,No,,,,
88,Vampyrodes major,208954,-94.9647222,17.3905555,,False,2,28.7,Mammalia,Chiroptera,Phyllostomidae,27,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=041782a9e9406108d7124453b34a4764,041782a9e9406108d7124453b34a4764,No,,,,,,,,
36,Vampyrodes major,209080,-95.071944,18.6194444,,False,2,28.48,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=073f8c510429b42b22546c0b01eaafe2,073f8c510429b42b22546c0b01eaafe2,No,,,,,,,,
28,Vampyrodes major,213580,-94.5991667,17.0769444,,False,4,45.24,Mammalia,Chiroptera,Phyllostomidae,450,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=077045321755deab8379a4c954d17a46,077045321755deab8379a4c954d17a46,Si,NoDisponible,NoDisponible,No,No,,,,
22,Vampyrodes major,218122,-94.1225,17.1036111,,False,3,37.21,Mammalia,Chiroptera,Phyllostomidae,85,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0823593c6fab97fecc3626c7d73e23ed,0823593c6fab97fecc3626c7d73e23ed,Si,NoDisponible,NoDisponible,No,No,,,,
65,Vampyrodes major,239214,-90.9308333,16.1227777,,False,3,38.34,Mammalia,Chiroptera,Phyllostomidae,167,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09023af13b990624ec5343f0311b5a86,09023af13b990624ec5343f0311b5a86,Si,NoDisponible,NoDisponible,No,No,,,,
37,Vampyrodes major,209080,-95.071944,18.6194444,,False,2,28.48,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0aaf076a121ad0816cf8a0b8277d3b07,0aaf076a121ad0816cf8a0b8277d3b07,No,,,,,,,,
89,Vampyrodes major,208954,-94.9647222,17.3905555,,False,2,28.7,Mammalia,Chiroptera,Phyllostomidae,27,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c645fea29f965fc2f9f7c630f209396,0c645fea29f965fc2f9f7c630f209396,No,,,,,,,,
11,Vampyrodes major,235158,-91.9466667,17.4755556,,False,2,25.7,Mammalia,Chiroptera,Phyllostomidae,95,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1421a9c77f9c7d52119d95d5814323e3,1421a9c77f9c7d52119d95d5814323e3,Si,NoDisponible,NoDisponible,No,No,,,,
38,Vampyrodes major,209080,-95.071944,18.6194444,,False,2,28.48,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1472049789b9344470468571249ec22d,1472049789b9344470468571249ec22d,No,,,,,,,,
39,Vampyrodes major,209080,-95.071944,18.6194444,,False,2,28.48,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1814b148218f7652b2de0b06300fee75,1814b148218f7652b2de0b06300fee75,No,,,,,,,,
100,Vampyrodes major,199589,-96.252038,17.728428,,False,3,39.68,Mammalia,Chiroptera,Phyllostomidae,288,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18adf8c9bf198e5a9aca65e1415c9c7e,18adf8c9bf198e5a9aca65e1415c9c7e,Si,NoDisponible,NoDisponible,No,No,,,,
7,Vampyrodes major,226708,-93.0102778,17.3511111,,False,5,56.05,Mammalia,Chiroptera,Phyllostomidae,331,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18ba7e9d8db9fd3196a6e3af0644e9aa,18ba7e9d8db9fd3196a6e3af0644e9aa,Si,NoDisponible,NoDisponible,No,No,,,,
14,Vampyrodes major,235158,-91.9822222,17.5091666,,False,2,25.7,Mammalia,Chiroptera,Phyllostomidae,86,Terrestre,1968,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ac61c67ba3a2d666c0b74395c30b303,1ac61c67ba3a2d666c0b74395c30b303,Si,NoDisponible,NoDisponible,No,No,,,,
94,Vampyrodes major,208932,-95.0447222,17.1116667,,False,2,24.13,Mammalia,Chiroptera,Phyllostomidae,94,Terrestre,1964,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c632daefe431a709da7dfb342d0c5d5,1c632daefe431a709da7dfb342d0c5d5,Si,NoDisponible,NoDisponible,No,No,,,,
40,Vampyrodes major,209080,-95.071944,18.6194444,,False,2,28.48,Mammalia,Chiroptera,Phyllostomidae,14,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2028f97d8aa3139baf3962043f106c2a,2028f97d8aa3139baf3962043f106c2a,No,,,,,,,,
9,Vampyrodes major,226708,-93.0066667,17.3547222,,False,5,56.05,Mammalia,Chiroptera,Phyllostomidae,289,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20bde86c30e71a3d8ae7e265d79be6c0,20bde86c30e71a3d8ae7e265d79be6c0,Si,NoDisponible,NoDisponible,No,No,,,,
6,Vampyrodes major,226708,-93.0130556,17.3458333,,False,5,56.05,Mammalia,Chiroptera,Phyllostomidae,484,Terrestre,1992,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24a029ccd67ace3997b90c369a8ed01c,24a029ccd67ace3997b90c369a8ed01c,Si,NoDisponible,NoDisponible,No,No,,,,
78,Vampyrodes major,239214,-90.9508333,16.1066667,,False,3,38.34,Mammalia,Chiroptera,Phyllostomidae,145,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24af6189beebd5ddf6bc13609c67515d,24af6189beebd5ddf6bc13609c67515d,Si,NoDisponible,NoDisponible,No,No,,,,
52,Vampyrodes major,226711,-93.0293966,17.4283333,,False,3,36.73,Mammalia,Chiroptera,Phyllostomidae,163,Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=24b30318736c233332460e249216c5f5,24b30318736c233332460e249216c5f5,Si,NoDisponible,NoDisponible,No,No,,,,
79,Vampyrodes major,239214,-90.9508333,16.1066667,,False,3,38.34,Mammalia,Chiroptera,Phyllostomidae,145,Terrestre,1985,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=298dacb43ce061d2a46a5edb3d9abc29,298dacb43ce061d2a46a5edb3d9abc29,Si,NoDisponible,NoDisponible,No,No,,,,
91,Vampyrodes major,222531,-93.6166666,17,,False,3,39.33,Mammalia,Chiroptera,Phyllostomidae,928,Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2bcf3a765e032f118f04a8f170ba6ebf,2bcf3a765e032f118f04a8f170ba6ebf,Si,NoDisponible,NoDisponible,No,No,,,,
58,Vampyrodes major,239214,-90.9680555,16.1227777,,False,3,38.34,Mammalia,Chiroptera,Phyllostomidae,235,Terrestre,1984,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c20667a633eb3f82317cc92a35833be,2c20667a633eb3f82317cc92a35833be,Si,NoDisponible,NoDisponible,No,No,,,,
12,Vampyrodes major,235158,-91.9466667,17.4755556,,False,2,25.7,Mammalia,Chiroptera,Phyllostomidae,95,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=309901a71ffaeb135ee30c1f1b6daf61,309901a71ffaeb135ee30c1f1b6daf61,Si,NoDisponible,NoDisponible,No,No,,,,
